content,Quality,Service,Shipping,Packing
size chật không cho đổi sản phẩm mình không hài lòng,1,0,0,0
sóng 5g phát tốc độ chậm hơn 1 nửa so với tốc độ sóng 5g router,1,0,0,0
sài một chút là bị lún xuống dễ bám bụi khó vệ sinh,1,0,0,0
"nhầm mẫu, không đẹp! nhận đại",0,0,1,0
ổ cứng chỉ có hộp carton và một bịch ổ cứng. không hề có chống shock gì vả và bịch bị hỏng. nào h mua sản phẩm trên tiki mình không quay video nhưng từ giờ chắc phải có quá.,0,0,0,1
chuyển sản phẩm không đúng số lượng order,0,0,1,0
"bị hỏng, không khởi động được máy.",1,0,0,0
"nhà bán ship sản phẩm không đúng, mua combo một bộ, cả bếp lẫn nến. nhưng chỉ giao có nến không có bếp, phản hồi đến nhà bán, gửi thông tin, hình ảnh. đến nay 5 ngày nhưng chưa có câu trả lời, làm ăn như vậy, ai nhưng nhưng tin tưởng nữa đây.",0,1,0,0
bao bọc chưa kỹ lưỡng,0,0,0,1
trên thì báo bán sản phẩm mới có thẻ . về nhà bóc ra thấy sản phẩm cũ.,1,0,0,0
size nhỏ hơn thông thường rất nhiều,1,0,0,0
Dù đóng hàng cẩn thẩn,0,0,0,1
nhìn hình nắp trong nhưng gửi sản phẩm về là nắp đục,0,0,1,0
sản phẩm thiếu sợi dây cáp. nhờ bên tiki hỗ trợ đổi sản phẩm,0,1,0,0
"ghế không chắc chắn, bánh xe có nhưng khó sử dụng",1,0,0,0
chưa nhận được sản phẩm nhưng báo đã ship sản phẩm thành công là sao ?,0,0,1,0
"dán thì dán được đấy nhưng không duy trì lâu được. dán 1 thời gian là rơi, dán cao thì xác định có ngày hỏng đồ",1,0,0,0
đọc review nói rất nhiều về việc không bọc kỹ khi đi giao ổ cứng mình nghĩ tiki cũng phải có động thái thay đổi nhưng mình đã lầm. đi giao trời mưa nhưng ổ cứng nhưng không được bọc kỹ chỉ có bịch ni lông của ổ cứng cho vào cái thùng nhưng không khít nữa. mình chưa gắn vào máy để kiểm tra nhưng cạch từ đây mọi người cẩn thận khi mua sản phẩm,0,0,0,1
sản phẩm sau 10 tháng sử dụng.,1,0,0,0
"sách bị mốc hay gì thế vậy? sách này lúc mình nhận mình chưa đọc mình cất, khi lấy ta thì mình mới để ý rõ là sách có bị lỗi thế này.",1,0,0,0
Giao sản phẩm giao nhầm sản phẩm rồi,0,0,1,0
"không giống mong đợi máy nhận ram, tạm ổn tốt tốt nhưng bực cái ông giao sản phẩm làm như nợ ông ta không bằng giao sản phẩm mình có chuyện không thể đợi ổng được ra trễ 2p ổng làm như mình thiếu nợ không bằng nhưng dọ không giao sản phẩm lỡ đặt nên mua không déo cần thái độ khinh người thế mình xem youtu ngày nào cũng quãng cáo nên mua thử nhưng thái độ thế này chịu haizzz mua r mới hỉu phu vụ thế bỏ tiền quảng cáo sao cũng thừa thôi tính bán lần1 .",0,0,1,0
treo đầu dê bán thịt . mẹ,1,0,0,0
"tạm ổn tốt tốt tốt được, hơi mắc so với chất liệu",1,0,0,0
mình đã nhắn tin lại 2 3 lần là mình lấy size l cuối cùng vẫn giao xl làm sao con mình mặc vừa,1,0,0,0
giao sản phẩm không đúng. nhắn tin không phản hồi.,0,1,0,0
không có size lớn đưa size mình . khi mua không có chọn size,1,0,0,0
Ke vận chuyển bị móp méo,0,0,1,0
"trước h mình đặt tiki đều thấy đóng cản thận. nhưng lần này mình đặt bộ 14 quyển thùng đựng thì rộng, truyện thì cứ thả vào nhưng hk chịu gói sắp xếp lại. đúng vào mùa mưa nữa chứ. thua bọc hàng bên fahasha nhiều",0,0,0,1
Thực sự mình không hài lòng về trải nghiệm việc chậm giao sản phẩm lần này,0,0,1,0
Lại bọc túi bị dơ nchug xem lại khâu gói sản phẩm hơi thất vọng sản phẩm đủ nha,0,0,0,1
Phần giao sản phẩm cho tiki 5 sao vì giao sản phẩm rất chậm,0,0,1,0
Nhân viên giao sản phẩm rất kém văn hoá,0,0,1,0
