id,title,content,rating
20179454,Không hài lòng,Dây đeo không chắc dễ bị đứt dây,2
20151004,Rất không hài lòng,Mình nhận hàng sao không có gift tẩy trang,1
20125903,Rất không hài lòng,"Tiki bán ghi là mua dầu gội tặng dầu xả nên mình nghĩ là giá này thì mua được 1 cặp. Mình quên đọc kỹ thông rin và kiểm tra hàng tặng trong giỏ hàng trước khi đặt hàng, giao hàng đến chỉ thấy có dầu gội, bạn CSKH bảo do hết quà tặng, dặn lần sau nhớ kiểm tra kỹ trước khi đặt hàng. OK lỗi của mình xớn xác nhưng nhận hàng không vui nhưng không muốn ảnh hưởng đến bạn giao hàng nên mình không trả hàng. Mình đánh giá 1* vì không vui, đặt mua 2 món nhận được chỉ 1 món.",1
20224518,Không hài lòng,"Tẩy ko sạch, mùi không được tốt, dễ văn tùm lum",2
20094037,Rất không hài lòng,Trên hình ảnh có tặng thêm 1 hủ lúc giao hàng thì ko có tặng treo đầu dê bán thịt ***,1
20104065,Bình thường,SP bình thường xả ko mướt tóc như những loại khác của dove mà mình đã dùng,3
19800172,Rất không hài lòng,Tiki ơi đây có phải hàng giả không vậy? Không thể gắn vào bàn chải được nghen,1
17235072,Rất không hài lòng,Hàng giao như vầy làm sao mà xài Tiki. tôi mua bàn chải điên mà chỉ có đầu bàn chải không vậy.,1
13876214,Rất không hài lòng,Do đọc không kỹ nên nhận về mới biết là chỉ có 4 đầu bàn chải. Cho hỏi mình có thể mua loại thân bàn chải nào có thể lắp vừa đầu bàn chải này. Giá dưới 300 thôi ạ,1
19238532,Rất không hài lòng,"Gửi nhầm hàng ,mình đặt LocknLock  mà gửi Lock&Lock",1
19445269,Bình thường,"K hài lòng về sp
Bất tiện",3
15016647,Rất không hài lòng,"Đặt mua bàn chải, mà giao đầu bàn chải, đề nghị đổi lại dùm",1
15943632,Bình thường,"Dùng tạm,lắp vào bản chải cùng hãng cũng không khớp lắm.",3
15621800,Rất không hài lòng,Giao hàng chậm hơn dự kiến,1
13565495,Không hài lòng,Không vừa với thân bàn chải điện,2
12255948,Không hài lòng,Tưởng có cả cái bàn chải ai ngờ có 3 cái đầu,2
19960702,Rất không hài lòng,"Hàng như hàng dùng rồi, quá tệ",1
19600062,Rất không hài lòng,"Hàng có mã vạch nhưng ko quét được, do mã vạch không đúng. Nghi hàng *** quá",1
19256040,Rất không hài lòng,Không có quà tặng kèm như quảng cáo,1
17660798,Rất không hài lòng,"lọ này đã hết hạn từ ngày 17/2/2022 vậy mà vẫn bán , thật tức giận",1
13838850,Không hài lòng,Sản phẩm đóng gói cẩn thận nhưng không có quà như lúc đăng ký mua,2
13360279,Bình thường,kg hài lòng về cách tiki sử lý cho k/h,3
14467682,Không hài lòng,"Hộp có dấu hiệu bị mở, bát loa tặng kèm vỡ nát bét",2
20230675,Rất không hài lòng,sem khối lượng quá ít sai với mô tả sản phẩm,1
20133067,Rất không hài lòng,Shop để đơn 150k sẽ tặng gấu bông chuyên gia nhưng nhận hàng không có quà,1
20092923,Không hài lòng,Lúc mua thấy có quà tặng mà lúc nhận không có quà tặng,2
10929448,Rất không hài lòng,"Mình đặt hàng lúc tối 03/07 và đã chọn giao sản phẩm trước 12g trưa 04/7, do đặt dùm bạn. Đến tận chiều tối hôm nay là 3 ngày mới giao cho bạn mình. 
Mình chọn giao nhanh với phí ship đắt và đã thanh toán hết rồi chứ không thôi đã hủy đơn. Cùng ở TP.HCM nhưng chẳng hiểu sao lại giao lâu thế. 
Thất vọng thật sự.",1
19853235,Không hài lòng,Càng dùng mặt càng nổi mụn,2
19560642,Rất không hài lòng,khi ban thi co khuyen mai khi nhan thi lai ko co khuyen mai ko uy tin ji het chan that,1
18394018,Bình thường,Sao tôi mua đơn hàng trên 199 k mà không được tặng sét mini (đơn hàng của tôi là 278k),3
19126076,Rất không hài lòng,Ko bjo mua của shop này nữa. Kinh doanh mà ***,1
17887715,Không hài lòng,"Ko thik sp lắm, 2 tuýp nhưng có 1 tuýp có vẻ lượng ít hơn tuýp còn lại.",2
16100443,Bình thường,sửa rửa mặt dùng rất tốt. giao hàng nhanh,3
17964207,Rất không hài lòng,Không rửa sạch bụi bẩn gì cả,1
16812776,Rất không hài lòng,Đóng gói kĩ mà sao kg thấy quà tặng,1
8551896,Rất không hài lòng,mẫu mã khác với trên hình. mà hình như hết hạn rồi hay sao á,1
12868308,Bình thường,"Chất kem mình thấy lướt trên da ko đc êm cho lắm, dù là da hhtd nhưng em này cấp ẩm ko đủ cho mình dùng trời nắng nóng có lẽ hợp hơn chứ mùa lạnh ko đủ đô, dù sao mình cũng mua dùng thử chắc sẽ ko mua lại. Trừ 2 sao vì Tiki giao hàng trễ 2 tháng nhé may là gói hàng còn nguyên vẹn :)",3
19573641,Rất không hài lòng,"*** nha mọi ng,nhìn ngoại quan là biết sản phẩm nhà làm. Đổi trả tiki khó lắm mọi ng ơi",1
20133250,Rất không hài lòng,Hàng k nguyên tem. Hộp đã bị bóc,1
10584904,Bình thường,"Mình đã mua Hada ở cả *** và Tiki nhưng cách gói hàng của Hada ở *** cực kì chắc chắn chứ không như Tiki. Chỉ gói thùng giấy bên ngoài khi nhận thì muốn nát hết cả ra, sp thì méo hộp xiên xọ còn sp ở trong thì đầy bụi. Hàng tặng thì đặt 3 sản phẩm tặng 3 bình nhưng thật mệt mỏi thay 3 bình một màu :)",3
13010307,Rất không hài lòng,shop bán kem.. mà đóng gói gì k có bọc lại ngoài cái hộp giấy đựng 2hop kem.. nhận kem ma k biết là kem gia hay thiết nữa.mat lòng tin qua..hop thì móp méo.chua khui hàng mà nhìn vô thấy cái hộp kem luôn..bo tay thật,1
10220801,Bình thường,"sản phẩm mình đã dùng rất lâu rồi nên k có gì để nói về chất lượng. tuy nhiên lần này thật sự thất vọng về thời gian giao hàng của Tiki. mình đặt hàng mà tận 11 ngày sau mới nhận đc hàng, trong khi bình thường 3 ngày có",3
18281534,Rất không hài lòng,"Bôi lần đầu tiên da bị dị ứng sưng và nổi mẫn đỏ, các bạn nên tìm hiểu kĩ khi mua",1
16982727,Rất không hài lòng,"shop giao hàng nhanh, gói cẩn thận, kem bôi thấm nhanh không bết. Mới dùng nên cũng chưa biết hiệu quả thế nào",2
19257530,Rất không hài lòng,"Không có quà tặng, rất thất vọng",1
17431259,Bình thường,"Mình đã nhận được hàng, thấy shop ghi được tặng kèm túi tote nhưng ko thấy hàng tặng kèm.",3
18394803,Bình thường,Mình đã mua đơn hàng trên 199k(278k) mà ko được tặng sét mini,3
13016972,Rất không hài lòng,"Đã nhận hàng, nhưng ko có tem dán bảo vệ hộp kem sản phẩm. Nhờ shop xem lại sản phẩm kem đã bị vơi đi ...",1
16948621,Rất không hài lòng,Không có quà tặng như quảng cáo. Làm ăn như này k ổn,1
8994359,Bình thường,"Sản phẩm của Tiki trading thì mình luôn tin tưởng. Nhưng không hài lòng nhân viên giao hàng, quên gói hàng của mình, hứa hẹn hôm sau giao lại cuối cùng lại để quá hạn rồi tự trả hàng",3
16403620,Bình thường,đậm chất mùi mỹ phẩm.chất kem đặc khó thấm vào da.mới dùng 1ng nên chưa bt hiệu quả,3
10576820,Bình thường,"Mới thoa kem, thấy kem thấm nhanh, lên tong nhẹ nhưng mùi mình ko thích lắm. Dùng thời gian nữa mới biết được sự thay đổi",3
18554504,Không hài lòng,"da mẫn đỏ, khô, (da nhạy cảm)",2
13181492,Bình thường,"Kem thoa cứ rít,không mềm mại,nên thoa lên k massa mặt dk.nhanh thấm nhanh khô...",3
12482704,Rất không hài lòng,"giao hàng quá tệ, có ghi hành dễ vỡ mak vẫn vậy",1
12794636,Rất không hài lòng,sử dụng 2ngày cảm giác ngứa va da nổi mụn nhỏ liti.có phải da e không hợp ai sài rồi cho e ý kiến đi ạ,1
9115395,Rất không hài lòng,"Trong quảng cáo ghi là tặng kèm chiếc túi vải,cuối cùng chỉ có trơ trọi hộp kem thôi!Thất vọng rồi nhen Tiki!",1
10251535,Không hài lòng,"Xài 1 tháng rồi chưa thấy kết quả gì hết, nhưng mùi kem rất hôi nhé bôi lên mặt ngửi mắc ói chịu k nổi nên thôi ngưng luôn",2
14746352,Không hài lòng,mình dùng đến ngày thứ 2 da ngứa và bong tróc.nổi đốm quanh vùng miệng,2
16925213,Rất không hài lòng,Kem dùng được phù hợp với giá tiền,1
4737200,vô cùng thất vọng,"Đầu  tiên về phần vỏ rất chắc chắn k thể trừ điểm được. Nhưng  điều mình quan tâm nhất về chất lượng thì em này làm mình không hài lòng. Mùi rất kì, mình ngửi như mùi đất sét. Bôi nhiều lớp lên sẽ ra màu hồng cánh sen rất dìm(nếu không tẩy da chết). Chất son giống son gió nhưng chậm hơn.để tầm 1-2h môi bắt đầu hồng choét lên trông rất sợ. Hình ảnh dưới đây là môi mình sau khi tẩy da chết và bôi lớp mỏng lên( trông không quá đáng sợ nhưng 1 tgian sau lên màu k đc đẹp) nếu như muốn mua thì bạn chỉ nên bôi ở nhà nếu không sẽ k kiểm soát đc màu son. Son này rất lì luôn ấy. Trời càng lạnh nó lên màu càng nhanh. màu mình mua là cam san hô. Hi vọng nếu như cải thiện màu son này nhà sx sẽ cho thêm nhiều đỏ hơn là hồng",2
3117902,Cũng được,"Nếu bạn muốn dưỡng môi thì mua loại k màu k mùi,loại này vừa dưỡng vừa có màu,màu Hồng tự nhiên.thoa đi đâu môi Hồng tự nhiên nhưng nếu có ý mua một loại dưỡng chống thâm môi thì bạn hãy lựa chọn thương hiệu khác,cái này là son có lên màu Hồng nha.",3
11872202,Rất không hài lòng,"Đơn hàng bị giao thiếu 1sp...mùa dịch, shop cẩn thận",1
11818268,Bình thường,Tạm được son hơi dính vào vỏ,3
2972006,Bình thường,đánh son 1 chập màu lên đậm lắm lun. hồng cam mà chỉ thấy hồng. k phù hợp voi minh. thích trang điểm nhẹ,3
3597885,Bình thường,thoa lên môi là có màu liền nhưng k thấy hiệu quả... thâm vẫn còn,3
7491731,Bình thường,,3
2658688,Không hài lòng lắm,Sản phẩm son hơi bị rích khi sơn môi.Khó sử dụng  màu son không giống như miêu tả trên hình,3
6363921,Bình thường,,3
6019248,Bình thường,,3
5871877,Bình thường,,3
2755993,Son không dưỡng được tốt như lúc trước,Đánh 1 hồi vẫn bị khô môi và cảm thấy còn nghiêm trọng hơn khi chưa dùng,2
5725470,Bình thường,,3
5576040,Bình thường,,3
17966016,Bình thường,Đang trong thời gian sử dụng nên chưa đánh giá cụ thể được.nhưng giao hàng khá nhanh.........,3
17355630,Bình thường,Tôi chưa nhận được hàng . Sao đánh giá như thế nào. Tôi k hiểu,3
18335502,Bình thường,Không hiệu quả lắm. Mụn thâm vẫn nhiều dù xải thêm gel trị mụn,3
16455440,Bình thường,"Dung dịch tạo bọt tốt. Tuy nhiên, da không hợp với salicylic acid (bị viêm hoài không có đỡ) nên sẽ không mua lại.",3
10078491,Không hài lòng,hình thức thì ok nhưng k thấy tác dụng lắm,2
7601504,Rất không hài lòng,"ph quá cao, k nên dùng, ai đang dùng thì nên bỏ đi, hư da đấy",1
7156983,Không hài lòng,về bản thân mình dùng sp này không thấy hiệu quả lắm!!!,2
20150742,Không hài lòng,"Hàng đi quá chậm, tiki nên coi lại cách vận chuyển đơn",2
16853121,Rất không hài lòng,tiki bị bên shipper làm mất uy tín. Tôi chưa nhận được hàng mà tiki đã xác nhận là đã xác nhận giao hàng mã #647589123. Tôi chờ mãi mà cái tay shipper số điện thoại *** cho tôi chờ mỏi luôn,1
8778208,Bình thường,bì to mà lõi có xíu...ko đủ dùng lâu,3
3129343,Bình thường,"tạm được à, sản phẩm dùng có mùi nồng
nhưng với mức giá này như v là 1 sản phẩm tốt r",3
7668447,Bình thường,,3
7185091,Bình thường,,3
4680011,Bình thường,,3
4210789,Bình thường,,3
17493601,Rất không hài lòng,"(*) Đánh giá không tính điểm
K có túi quà tặng khi mua 2 sản phẩm",1
20217224,Bình thường,Có hiệu quả trị gàu Tốt nhưng lại làm khô tóc và tôi cũng đang nghi ngờ sản phẩm vừa trị gàu vừa có các thành phần hoá học khác kích thích gàu phát triển trở lại nhanh hơn nên dùng thường xuyên thì tóc sẽ khô mà ngưng thì gàu lại xuất hiện nhiều hơn cả trước khi chưa từng dùng qua sản phẩm.,3
16380519,Bình thường,"mình ngội sang ngày thứ ba vẫn thấy gầu nhé , chắc phải duy trì đều đặn nnhư các loại dầu gội thông thường .",3
18524450,Bình thường,Xxhhhg gjhfg bhfgu hghjb hjfhn,3
17726498,Rất không hài lòng,Chính sách càng ngày càng tệ,1
19652216,Bình thường,Hàng giao nhanh nhưng giao thiếu quà tặng kèm như đơn hàng lúc đặt hàng,3
4981723,chất lượng tệ,"kh biết mng sao chứ bản thân mình thấy srm này mang tiếng kiểm soát nhờn nhưng càng dùng thì dầu da mặt của mình lại ra càng nhiều, ngăn mụn mà dùng xong một thời gian mụn mọc nhiều hơn. Có thể là do mình kh hợp :d",1
16704571,Không hài lòng,"dùng cũng ok đó,mình sẽ ủng hộ",2
11896896,Rất không hài lòng,Khi sử dụng làm bị gát mặt đỏ mẫn đỏ lên,1
