content,Quality,Service,Shipping,Packing
giao không đúng hang như hinh,0,1,0,0
sản phẩm chất lượng quá kém,1,0,0,0
sản phẩm quá nhỏ so với ban đầu,1,0,0,0
vải dể rách wa mong nhà bán cải thiện lại,1,0,0,0
cửa sản phẩm cho đổi lại size l được ko? size mình nhưng s nhỏ quá🥶🥶🥶,1,0,0,0
mình tin tưởng cửa sản phẩm và ủng hộ sản phẩm vn. nhưng sản phẩm chất lượng kém quá. nhẹ cái là rách luôn. quá thất vọng,1,0,0,0
"bình thường. thqams mồ hôi, nhưng ủ mùi nhiều",1,0,0,0
"ngon, khóa chất lượng xấu, không là hoàn hảo",1,0,0,0
cạn lời. mình nghĩ là nó là sản phẩm mới nhưng do màu nên thấy củ hơn cả quần mình đã mặc 1 năm. kiểu dáng thì tốt ấy,1,0,0,0
"nhanh sút chỉ, thun đai lưng nhanh dãn",1,0,0,0
"nhanh hư dây thun quần, sút chỉ",1,0,0,0
quần quá nhỏ so với size thực tế,1,0,0,0
sản phẩm giá cao quá bủh bủh lmao,1,0,0,0
quá nhỏ so với size thực tế,1,0,0,0
"vai chất lượng không cao, may tho",1,0,0,0
"sổ chỉ chân quần, chưa tốt lắm.",1,0,0,0
không fốt lấm?,1,0,0,0
"quần khong như quảng cáo, tụt chỉ",1,0,0,0
thất vọng vì logo được in nhưng không phải được thêu. sau một thời gian logo bong tróc hết. nhìn nó như một chiếc quần không thương hiệu.,1,0,0,0
"may form xấu, túi nông, chất lượng vải thấp",1,0,0,0
quần mặc nhanh rách. tuột chỉ …….,1,0,0,0
"sản phẩm bình thường, đáy quần hơi ngắn. so với giá thì cao nhưng chất lượng thì không bằng của chính hãng 5s actuve. tiki nên ktra cửa sản phẩm bán quần 5s active, treo sản phẩm 5s nhưng bán sản phẩm nhái.",1,0,0,0
tôi chưa nhan ₫c tiền của sản phẩm thu hồi,0,1,0,0
chất lượng quá kém so vs cái giá. quần mới nhưng chỉ thừa tùm lum. mặc 2-3 tuần bắt đầu có dấu hiệu bung chỉ. thất vọng vì đã mua 1 lần 3 cái.,1,0,0,0
tệeee. cực kì bực bội. quần dùng mấy tuần đã sờn. vải kém quá thể.,1,0,0,0
quần xấu giặt 1 lần nhăn nhúm và phai,1,0,0,0
như cái giẻ lau nhà. không giống như qc. anh em mua sản phẩm lưu ý nhé,1,0,0,0
sản phẩm lỗi sản phẩm không đúng yêu cầu,1,0,0,0
"đường chỉ may chưa được tốt,vắt sổ nhưng lỗi.",1,0,0,0
đường may chưa chắc chắn nên đạp lại,1,0,0,0
áo quá xấu so với số tiền bỏ ra,1,0,0,0
nên đặt lớn hơn 1 size bình thường,1,0,0,0
kém cho lắm chất lượng kém,1,0,0,0
"áo trắng tạm ổn tốt được, áo màu xám chất liệu rất tệ mặc vào như đeo mo lang.",1,0,0,0
size nhỏ hơn thông thường rất nhiều,1,0,0,0
"áo mặc nóng, không mát như quảng cáo",1,0,0,0
hai áo cùng size l nhưng mang lên ngừoi lại khác nhau. chất lượng tạm ổn tốt tốt so với giá thành. đóng gói tốt.,1,0,0,0
"chất lượng vải tốt. hơi bị ngắn, nên chọn cỡ cao hơn khuyến cáo",1,0,0,0
"áo zise quá nhỏ so với bình thường , chất áo cũng bình thường ,",1,0,0,0
"quá chật mặc không được, thông số size không đúng",1,0,0,0
áo ngắn so với size. mình mua size l nhưng mặc trật cả rốn ra,1,0,0,0
gửi size đâu có vừa đâu . thất vọng,1,0,0,0
không hài lòng. rất tệ. aaa,1,0,0,0
tốt áo tốt nhưng size không chuẩn,1,0,0,0
"form hơi chật, kg như mong muốn.",1,0,0,0
"chất liệu sản phẩm không được như trong hình ,dáng áo cũng hk đẹp",1,0,0,0
mặc không vừa. áo rất chậc. mình 1m74 74kg. không sử dụng được. tôi muốn trả lại sản phẩm. nhãn mác nhưng nguyên,1,0,0,0
sau khi nhận sản phẩm thì đã không nhưng mặc vừa nữa,1,0,0,0
size xl nhỏ như áo nữ. vải giá giá rẻ tiền. không đáng giá,1,0,0,0
"mình đặt sản phẩm từ 17/9 và mãi tới 10/11 mới nhận được sản phẩm, tiền giao sản phẩm là 44k cũng không hề giá giá rẻ. chất lượng quần thì cug gọi là tạm ổn tốt tốt so với tầm giá, cảm thấy mẫu màu xanh chất lượng vải tốt nhất. nhưng chiếc sọc màu hồng kia thì thấy lòe loẹt quá",0,0,1,0
sản phẩm mua không đúng hình. chất liệu vải cũng không đồng nhất giữa các quần. 1 chiêc màu nâu bị ra màu rất ghê làm nhem hết lên những chiếc màu sáng mới ngâm nước đã đen,1,0,0,0
tiền nào của nấy vậy nhưng cha nội nào bình luận tốt mới ghê bó tay,1,0,0,0
sản phẩm không đúng chất liệu như mô tả. sản phẩm báo là chất liệu cotton nhưng nhận sản phẩm chất liệu toàn nylon. sản phẩm bảo của may 10 nhưng mác trên quần ghi theo thiết kế may 10. có thể trả lại sản phẩm không cửa sản phẩm?,1,0,0,0
"thất vọng. mình thấy gới thiệu sản phẩm là: ""' quần may 10 , túi được may bằng vải quần , không phải vải lót mỏng như các sản phẩm khác."""" nhưng thực tế thì chẳng có cái túi quần nào hết, rỗ rang là giới thiệu một kiểu thự tees lại là kiểu khác. hơn nữa giá sản phẩm thưc tế là 25k chứ đâu phải giảm 62 chỉ nhưng 25k. chẳng biết như vậy có phải là người mua không. thất vong.",1,0,0,0
vải thô cứng nóng không phải coton như cửa sản phẩm nói,1,0,0,0
trong 5 cái thì 1 cái bị lỗi như hình. 10 cái nhưng lại đã đưa bố và em nên không biết bị lỗi ko. trừ cửa sản phẩm 2 sao vì sản phẩm có thương hiệu nhưng giao sản phẩm lỗi cho khách không thèm kiểm tra.,1,0,0,0
"chất lượng vải mỏng nhìn thấu, và rất nhàu. chất lượng chất lượng kém như giới triệu.",1,0,0,0
"chất lượng sản phẩm quá tệ, không giống miêu tả. chất liệu toàn nylon, không phải sản phẩm may10. có hơn 100k, không đáng bao nhiêu nên không buồn đổi trả sản phẩm. tiki nên xem lại nhà cung cấp, bán chất lượng kém chất lượng",1,0,0,0
"sản phẩm mỏng, mát, giao đúng size. giao sản phẩm q.1 nhưng siêu lâu, mất 2 tháng. giá trên sản phẩm ghi 25k nhưng nâng khống rồi ghi giảm 66 , đúng là gian thương. hy vọng đây không phải là chính sách của m10.",0,0,1,0
chất kém như mong đợi như ni lông,1,0,0,0
"tôi đã nhận được sản phẩm rồi! thời gian giao sản phẩm tương đối nhanh, chất lượng sản phẩm chưa đúng như quảng cáo là 100 bằng vải coton! đóng gói sản phẩm tương đối gọn gàng và chắc chắn!",1,0,0,0
không tot nam sản phẩm xau nam không co akup,1,0,0,0
"quần đùi rởm lắm , vải mỏng dính . chất liệu không phải coton . mình cứ tưởng sản phẩm cty may 10 thật nên mua . giờ không muốn dùng luôn",1,0,0,0
mặc không vừa. di chuyển không được. sản phẩm tệ.,1,0,0,0
"chất liệu vải kém, fom quần không thoải mái",1,0,0,0
không có túi quần nên hơi bất tiện chút! lỡ mua rồi thì mình chịu khó xài luôn chứ chồng con không ai dùng cho! tiền nào của đó nhưng!,1,0,0,0
