content,Quality,Service,Shipping,Packing
co giao sản phẩm đâu nhưng thấy giao thành công,0,0,1,0
"giao mẫu dày, bé rất khó chịu khi sử dụng, sai mẫu",1,0,0,0
"giao mẫu dày không giống mỗi khi mua, đã 2 lần mất niềm tin, không chơi nữa",1,0,0,0
"sao đợt này tả dày quá, làm hoang mang",1,0,0,0
"ghi mua 3 tặng nồi rõ to, xong bên dưới chơi trò ghi chữ nhỏ xíu số lượng có hạn mới nhận được, nhận sản phẩm rồi mới vào xem kỹ mới biết, xin lỗi bán sản phẩm nhưng chơi vậy rất nha.hết thì xoá nó đi nha. kiểu mổ gà lấy trứng ntn không lâu đâu. lỗi do tôi, thôi chắc xoá aap",0,1,0,0
"hình ảnh đăng bán 1 vị, thêm giỏ sản phẩm 1 vị. chán luôn",0,1,0,0
"đơn sản phẩm giao trễ vì shipper báo chỉ có mỗi đơn mình và xa quá nên hẹn lại, tuy mình đồng ý nhưng vẫn ảnh hưởng đến kế hoạch sử dụng sản phẩm đang cần gấp của mình! đề nghị lần sau giao đúng như tiến độ cam kết.",0,0,1,0
khui sữa ra bị móp méo tùm lum.không chấp nhận được,0,0,0,1
"dạo này đóng gói sơ xài, tôi mua 4 hộp, 3 hộp bị móp, không đậy nắp được. tôi lỡ khui hộp mới phát hiện móp",0,0,0,1
cửa sản phẩm giao sản phẩm móp sẵn chứ không phải do vận chuyển.,0,0,0,1
"hộp bị móp nên hơi thất vọng. lần đầu mình mua thì tốt, rất tiếc cho lần này",0,0,0,1
"không gọi nhưng nhá máy, gọi lại thì thái độ kém",0,0,1,0
con mình không hợp tác với sữa này hu hu,1,0,0,0
"cửa sản phẩm đóng gói sản phẩm cực tệ, nhận sản phẩm lần nào cũng móp méo",0,0,0,1
sao không có tem phụ từ công ty nào nhập khẩu nhưng chỉ có 1 tem nhỏ như thế liệu có phải sản phẩm fake,1,0,0,0
sao không thấy phần khuyến mãi như hình nhỉ ?,0,1,0,0
"giao sản phẩm quá chậm, bình thường mình đặt khuya hôm nay là chiều giao vậy nhưng đợt này mình đặt khuya 3/3 nhưng 4 ngày sau mới giao",0,0,1,0
