content,Quality,Service,Shipping,Packing
"cái màu xấu vô cùng, quai đứt. khả năng giữ nhiệt tốt, nhưng bình cần để qua đêm là bị hôi dù chỉ để nước lọc. không rõ có chắc sản phẩm chính hãng hay ko? nhưng lock lock sẽ không bị vậy. hơn 300k cho bình giữ nhiệt này, mua về cảm thấy hơi hoài nghi.",1,0,0,0
"sản phẩm không có tem mác gì, bên ngoài bẩn, nắp mở rất khó, xoay mở nắp thì bung luôn cả phần cấu tạo của nắp. không hài lòng sản phẩm so với tiền của sản phẩm.",1,0,0,0
"sản phẩm chất lượng kém , lớp sơn bị bong tróc dù mới sử dụng mấy ngày",1,0,0,0
mình mua 2 bình nhưng có 1 bình sử dụng tầm 2 tuần phần kim loại trên nắp bị sụp xuống. mình vẫn cố sử dụng nhưng nó lại ứ nước lại mỗi lần uống nước quanh miệng bình rất hôi mình không thể tiếp tục dùng nữa khá là thất vọng.,1,0,0,0
giữ nhiệt tạm ổn tốt tốt chỉ có cái lớp sơn sử dụng khoảng vài tháng là bị tróc hết. không biết phải sản phẩm real hay là sản phẩm,1,0,0,0
mình dùng được 1 năm thì hỏng bình. giữ nhiệt thấy cũng tạm ổn tốt tốt. về độ bền thì đánh giá kém,1,0,0,0
bị bóp là sao không hiểu kiểu gì,1,0,0,0
bình nước mình mới mua được mấy ngày sao nó bị tróc sơn hết vậy cửa sản phẩm,1,0,0,0
"mình không biết sản phẩm đựng nước lạnh chất lượng có tốt không nhưng mình đựng nước nóng đựng nước đậu đen nóng , sử dụng được hơn 1 tháng thì bên trong bị gỉ. mỗi ngày sử dụng mình đều vệ sinh bình và để ráo.",1,0,0,0
thiếu quà tặng theo như qc,0,0,1,0
sao không có kèm theo bình nhựa vậy cửa sản phẩm,1,0,0,0
"phần đệm caosu của nắp bị móp nên nắp đóng không được khít, không giữ được nhiệt.",1,0,0,0
"mình thấy mẫu mã tốt nhưng giữ nhiệt, cách nhiệt kém đổ nước nóng hay lạnh thì vỏ cảm nhận rỏ",1,0,0,0
bình giữ nhiệt tốt nhưng nắp thiết kế bị lỗi. nước bị rò ra ngoài nếu bình bị nghiêng hoặc ngả mặc dù nắp đã vặn kín,1,0,0,0
đựng khoảng 20-50 ml nước hơi nóng thì ấm ngoài bình. đựng khoảng nhiêu đó nước khoảng 5-10 oc thì lạnh khắp bình. mới đựng lần đầu đã như vậy rồi ạ.,1,0,0,0
"sản phẩm đẹp, nhưng mua được mấy bữa nay lấy ra dùng thì cái nắp bị rụng. cửa sản phẩm đổi sản phẩm mới giúp vs nhé",0,1,0,0
mua về xài 1 ngày nó đã bung nắp như hình,1,0,0,0
bình sử dụng tốt. không có vấn đề gì trừ việc dây đeo mới dùng được vài ngày đã bị tụt chỉ.,1,0,0,0
"roăng cao su ở nắp bình rất kém, lần đầu tiên tháo ra đã bị rách roăng cao su rồi giăng cao su như làm bằng cao su tái sinh không có độ đàn hồi",1,0,0,0
thương hiệu lớn nhưng giữ nhiệt chỉ được 6-8 giờ . quá tệ . thua sản phẩm trung quốc luôn,1,0,0,0
"ly giao nhanh, mẫu mã và màu sắc đẹp nhưng sau khi qua sử dụng một vài ngày thì thấy ly giữ nhiệt bị tiết nước ra ngoài nắp và vành ly, khá bất tiện làm cho việc giữ nhiệt không mấy tốt",1,0,0,0
"ly của mình mua khi cho đá vô thì bị như vậy , trước mua 2 cái xài rất tốt, cái này bị rỉ nước",1,0,0,0
bình của mình bị vỡ nắp dù mình có khóa nhưng khi có sự cố thì nắp bị bung ra và vỡ. bạn nào hậu đậu thì lưu ý điểm này nhé!,1,0,0,0
mua bình 550 ml. nhưng giao bình 316 l,0,0,1,0
"rất không hài lòng lòng. bình không giữ nhiệt, bên trong đấy bình lâm chấm vệt màu sẩm.",1,0,0,0
"mẫu mã đẹp, chắc chắn đúng như mô tả nhưng nắp khóa bình mới dùng vài ngày đã mất tác dụng khi đóng khóa nhưng vẫn bất nắp như không có khóa.",1,0,0,0
