content,Quality,Service,Shipping,Packing
"không nét như monh chờ, chỉnh cỡ nào cũng rõ ở 1 mức độ rất thường. coi phim lâu nhức mắt .âm thanh thì tốt",1,0,0,0
"máy bị lỗi, đang xem tự động tắt trình chiếu mặc dù đã cài đặt tắt chế độ bảo vệ màn hình",1,0,0,0
"hình ảnh mờ, tương thích iphone kém, nhiều lỗi khi kết nối iphone so với các thiết bị khác như fpt box hay ibox tv…",1,0,0,0
giao chất lượng tốt. test cũng được! nhưng trong hộp lại thiếu cộng dây usb nối dài. không biết sản phẩm này tp-link đóng gói không cho vào hay là bên bán sản phẩm đã lấy ra.,0,0,0,1
"sản phẩm nguyên seal của nhà cung cấp. xài tốt, nhưng các loại dongle wifi của tp-link hay bị lỗi không nhận wifi 5ghz của router ở một số kênh chanel , mình bị lỗi này và phải chỉnh lại router mới sử dùng được băng tầng kép.",1,0,0,0
"sản phẩm đẹp, hỗ trợ cả chuẩn ac và mimo nên chất lượng kết nối tốt. có đầy đủ driver cho windows và mac. tuy nhiên nó có những nhược điểm sau: 1. kích cỡ khá lớn nên khi gắn vào laptop hoặc pc có khả năng nó sẽ che mất các cổng kết nối bên cạnh. có lẽ kích cỡ lớn là do hỗ trợ cả 2 chuẩn mạng nên cần nhiều anten hơn. mình nghĩ sản phẩm này thích hợp với pc hơn laptop. mua cho laptop nên mua sản phẩm cấp thấp hơn. 2. trên windows 10, driver mới nhất của sản phẩm cũ hơn driver do microsoft cung cấp nên windows tự động dùng driver của nó thay vì driver của hãng. kết quả là tính năng mimo không hoạt động, đồng thời mỗi lần khởi động thiết bị đều bị disconect và reconnect lại. mình đã thử cài lại driver, chọn driver mặc định trong device manager nhưng vẫn không khắc phục được.",1,0,0,0
- vừa nhận sản phẩm sau khi đặt hơn 1h - rất tốt - sản phẩm giao được đóng trong hộp cũ có thể bỏ qua - hộp bên trong không nhưng nilon bao bọc - sản phẩm thiếu nắp và dây nối dài tiki bán sản phẩm cũ cho khách à?,0,0,0,1
chất lượng kém chất lượng không dung quảng cáo và không hoàn lại được chán,1,0,0,0
"yêu cầu đổi trả và đã gửi trả sản phẩm nhưng cửa sản phẩm không trả tiền và cũng chiếm lấy sản phẩm của khách. đề nghị tikki xem xét và trả lại tiền,",0,1,0,0
tốn mấy trăm nhưng không thể bắt được wifi 5ghz .cực kì thất vọng,1,0,0,0
"con này chỉ hỗ trợ kênh 36-64 mới bắt được sóng 5g, bắt buộc modem wifi phải chỉnh về kênh 36-64. chỉnh ở nhà để dùng thì được, mỗi lần ra quán cf là con t4u này chỉ bắt được wifi 2.4g, trong khi điện thoại bắt 5g vô tư, không lẽ cứ mỗi quán cf là phải hỏi chủ quán pass modem để vô chỉnh lại kênh. nhưng quán nào cho khách pass modem để vô chỉnh. thật sự thất vọng.",1,0,0,0
không hiểu sao mua cái này về cài đặt mãi nhưng vẫn không nhận wifi 5g. chỉ vào được wifi 2.4 nên tốc độ chậm. buồn.,1,0,0,0
tôi mới mua về đã bị hư rồi như vậy phải làm sao,1,0,0,0
"sản phẩm phía trong thì cảm giác nhưng khá mới, nhưng lúc nhận sản phẩm thì hơi bất ngờ về chất lượng sản phẩm như sản phẩm cũ khi nhìn bên ngoài !",0,0,0,0
không bắt được wifi 5ghz channel > 100,1,0,0,0
chất lượng tốt nên mua nhé. giá giá giá rẻ,0,0,0,0
tốc độ ngang cái tp link trăm mấy. đánh liên minh nhưng bị disconected suốt trong khi thằng bạn kế bên xài tp link trăm mấy ngon lành. mua cái giá giá rẻ thôi được rồi.,1,0,0,0
không biết mình xui hay sao nhưng mua phải cái lỗi không sài được.tiki đã hổ trợ đổi trã đóng gói cẩn thận mình nghĩ mình xui thôi nên sẻ đặt lại cái khác nếu bị nữa chắc không phải do xui,1,0,0,0
khó cài đặt .cửa sản phẩm hỗ trợ thì sẽ tốt hơn,1,0,0,0
nhận sản phẩm chưa dùng nhưng có tiếng kêu trong sản phẩm như linh kiện bị lỏng.,1,0,0,0
"mình vừa đặt cục này hôm qua, sáng nay nhận được lúc 8h. vừa tháo ra kiểm tra, chưa hề sử dụng thì phát hiện có 1 dây bị đứt",0,0,0,0
"mình vừa mua sản phẩm hôm qua, sử dụng wifi cách cục mạng mới mua khoảng 4m thì wifi tần số 5.0hz nhưng bắt được yếu chứ 2.4hz là rớt mạng luôn?",0,0,0,0
"giật lag như điên! vô trận nhưng nó đứng yên, load đỏ, r s đánh ?",1,0,0,0
mình mới mua chưa gì n đã hư r cắm điện không lên nữa,0,0,0,0
không hài lòng về sản phẩm,0,0,0,0
chất lượng không như mong đợi,0,0,0,0
khi giao sản phẩm bên tiki có sát khuẩn không nhỉ,0,0,0,0
"mua về không biết làm sao cài đặt, khó hiểu lắm",0,0,0,0
"sóng quá kém, thỉnh thoảng mất sóng",0,0,0,0
"thái độ shipper tồi tệ. gọi cho khách không hề hỏi đường nhưng nói khách đặt địa chỉ ""kiểu gì"", thái độ cọc cằn. địa chỉ giao sản phẩm không phải mới đặt lần đầu. đơn sản phẩm cũng đã thanh toán đầy đủ. cực kỳ tồi tệ",0,0,0,0
"quà tặng không đáng là gì, nếu không có quà tặng thì thôi đừng nói là có quà tặng. nói là có quà tặng trong khi đó lại không gửi quà tặng kèm theo. cái này là thái độ của cửa sản phẩm không tôn trọng khách sản phẩm. nên xem lại thái độ!",0,0,0,0
"mua xong không active được, gọi tiki báo ghi nhận và chờ hỗ trợ trong vòng 24h nếu quá 24h nhưng không ai hỗ trợ thì sao nhỉ?",0,0,0,0
sao hạn dùng 1 năm nhưng sao được có 1 tháng là sao vậy,0,0,0,0
actived xong bị cái này lâu lâu office lại treo biết thế dùng crack cho rồi,1,0,0,0
"không biết có bắt phải mua điện thoại xiaomi mới kết nối được vs thiết bị không nữa, dùng ip và ss đều kết nối mãi không được. hơi khó để sử dụng. mua 2 cái vứt xó :",0,0,0,0
nếu ai có ý định mua sản phảm này thì mình nghĩ là không nên. dúng nó khá phức tạp do phải trải qua 1 ứng dụng trung gian của xiaomi nhưng cái ứng dụng đó như kiểu ứng dụng gián điêppj hayy saoo nhưng đòi cấp lắm quyền truy cập vậy không biết. nên mua totolink hoặc mercucy thì dễ sử dụng hơn. một điều nữa là mặt sản phẩm không có hướng dẫn sử dụng tiếng việt nên lại mất công mò,0,0,0,0
"không thể kết nối được với router, liên tục báo lỗi kết nối do quá thời gian mặc dù tôi đã làm đủ cách theo hướng dẫn.",1,0,0,0
tôi muốn trả lại sản phẩm thì liện hệ cửa sản phẩm như thế nào chất lượng sản phẩm không như quảng cáo sóng wifi không hề cải thiện nhưng nhưng yếu hơn khi chưa kết nối sản phẩm kích sóng,1,0,0,0
"mua phiền phức, không nhận wifi, không đăng ký được mi home, rác rưởi. cửa sản phẩm không tư vấn",1,1,0,0
"mua được 10 ngày thì bị lỗi không kết nối được, làm lại nhiều lần cũng không được đèn vàng nháy liên tục nhưng không tắt .",1,0,0,0
chua dùng đến 1 ngày nhưng đèn báo hiệu không sáng rồi báo ngoại tuyến chắc hư rồi chất lượng tệ quá,1,0,0,0
"khi kết nối kích sóng không thể vào được web cũng như app, trong khi wifi gốc vẫn vào được. liên hệ hotline tiki thì không phản hồi và bảo hành hay trả sản phẩm. mn không nên mua",0,1,0,0
"chào cửa sản phẩm, mình mua về, cấu hình dùng sóng tốt. nhưng để qua 1 đêm thì mất sóng. check lại thì thấy cục repeater không nhưng vào điện nữa. có vẻ cục thiết bị đã bị lỗi. nhờ cửa sản phẩm hỗ trợ check giúp.",1,0,0,0
"giao sản phẩm quá lâu. đang cài đặt thì đèn báo không sáng, không kết nối được. xin đổi lại sản phẩm.",1,0,0,0
đặt hai cái cửa sản phẩm giao có một cái. tiền vẫn thu hai cái giờ phải làm sao,0,0,0,0
"không thể kết nối được, toàn gặp lỗi, mình đã thử qua nhiều cách nhưng vẫn không được",1,0,0,0
"không kích được sóng tốt, tại vị trí đặt thiết bị dùng sóng của repeater và sóng wifi gốc đều thể hiện mức vạch của sóng như nhau trong khi theo nguyên lý thì sóng của repeater phải mạnh hơn sóng gốc mới đúng .",0,0,0,0
dùng được 1 tháng phát đơ luôn,1,0,0,0
"cục repeater này mua rất phí tiền. vì theo cửa sản phẩm tư vấn phải đặt gần modem, nhưng lắp xong phát cũng y chang như không lắp, trệt phát, lầu 2 chập chờn, tịt ngòi.",0,0,0,0
"xài được khoảng 1 tuần là hỏng, không qua điện nữa. nên cân nhắc trước khi mua.",1,0,0,0
không bắt sóng được sài tệ lắm,0,0,0,0
mua về dùng thử nhưng test tốc độ không giống như quản cáo ? sóng khá yếu,0,0,0,0
không dug được gi ca. giao sản phẩm lam mat hang,0,0,0,0
không sử dụng được. cửa sản phẩm bảo bạn tự book giao sản phẩm từ hn vào hcm mang qua bên mình bảo hành,1,0,0,0
mình kết nối được vs wifi tp-link ở nhà. tới bước cuối cùng là lỗi không tìm thấy bộ định tuyến mặc dù đã để 2 thiết bị gần nhau.,1,0,0,0
"cài đặt vô cùng khó khăn, mất thời gian và phải khai báo các thông tin cá nhân, cảm giác thiếu an toàn về bảo mật thông tin cá nhân và quan trọng là cài rất nhiều vẫn không được.",0,0,0,0
làm ăn như cc nói này bán kia.t rin tiki t mới đặt sản phẩm không ngờ lũ thất đức như nhau,0,0,0,0
sản phẩm quá chập chờn không thể sử dụng,0,0,0,0
ghi thông tin là có thể thu và chuyển phát sóng 5g nhưng thực tế thì không được. lừa đảo,0,1,0,0
xài kém định. mọi ng đừng nên mua,0,0,0,0
mạng chập chờn. loại tplink tốt hơn. tốt định hơn,0,0,0,0
rất không hài lòng. cài đạt cả chục lần vẫn không được. lên mạng tìm cách cài đặt vẫn không được đèn thì cứ nháy liên tục,0,0,0,0
"làm theo hướng dẫn, reset lại nhiều lần vẫn không kết nối được với app. đèn liên tục nhấp nháy vàng nhưng app không tìm thấy. lh số hotline để hỏi hỗ trợ thì cả ngày không lh được. haiz",1,0,0,0
tín hiệu kém định chập chờn,0,0,0,0
sản phẩm không có bản hướng dẫn sử dụng tiếng việt nên rất khó xài. nhắn tin hỏi cửa sản phẩm thì cửa sản phẩm nói lên youtube xem.,0,0,0,0
"nhỏ gọn , xài được nhưng tốc độ kém.",1,0,0,0
quá khó để cài đặt báo lỗi tùm lum,1,0,0,0
không hài lòng chất lượng kém cho lắm,1,0,0,0
bắt sóng cũng tạm ổn tốt ôn.sản phẩm nội địa không phải sản phẩm quốc tê.,0,0,0,0
thực hiện mãi nhưng không kết nối được,1,0,0,0
"cửa sản phẩm giao sản phẩm nhanh, đóng gói cẩn thận. sản phẩm bề ngoài đẹp. nhưng phát sóng kém, không như kỳ vọng.",0,0,0,0
mới dùng được 2 tiếng thì mất đèn trên repeater sản phẩm lỗi quá mng đừng nên mua,1,0,0,0
tốt nhất không nên mua đồ xaomi. lỡ tay resets coi như vứt sọt rác. không cài lại được khi resets,0,0,0,0
không có hướng dẫn sử dụng,0,0,0,0
