content,Quality,Service,Shipping,Packing
"mới dùng nhưng đã chập trờn, lúc vào điện lúc không, rồi không sạc được nữa rồi",1,0,0,0
"tiki dối khách sản phẩm, mua sản phẩm xong không hoàn astra",0,1,0,0
đánh giá không tính điểm mua điện thoại nhưng nhìn cái hộp chán thế này. chả hiểu tiki làm ăn kiểu gì. thậm chí hộp bên trong nhưng không lót đệm,0,0,0,1
"đánh giá không tính điểm sau nhiều lần gọi đến tổng đài yêu cầu giao sản phẩm, cuối cùng cũng điều người giao sản phẩm trong đêm, chất lượng tốt nhưng giao sản phẩm tệ.",0,0,1,0
mua được 10 tháng ạ. em gọi hỗ trợ theo hl nhưng không được. vẫn nhưng bảo sản phẩm ạ,0,1,0,0
"tiki giao sản phẩm trước dự kiến, tuy nhiên đóng gói chất lượng kém đối với sản phẩm giá cao tiền. chỉ có 2 miếng giấy lót trên dưới rất ẩu, nhưng không có xốp cố định sản phẩm để tránh va đập. nilon bọc ngoài điện thoại cũng không phải là loại nilon hạn chế va đập, bọc vô cùng sơ sài. nói chung khá thất vọng về cách đóng gói sản phẩm có giá trị như vậy của tiki.",0,0,0,1
"mới mở hộp màu hồng check cổng sạc thấy bị trầy như vầy, hơi thất vọng không bằng iphone 11 mình mua năm trước không bị trầy gì hết",1,0,0,0
shipper giao sản phẩm không gọi trực tiếp cho người nhận - tự ý giao cho người nhà. quá đáng chê trách.,0,0,1,0
"mình mua ngày 15/2/2022. lần đầu mình mua iphone trên tiki. đóng gói cẩn thận, phụ kiện đầy đủ, giao sản phẩm nhanh. nhưng màn hình bị ám vàng. mọi người mua nên kiểm tra kỹ. rất mong tiki giúp đỡ.",1,0,0,0
"máy nguyên seal, nhưng màu hồng hơi nhạt, nhìn như màu trắng, thêm 30k để giao siêu tốc nhưng shipper cáu kỉnh, cuối giờ thang máy chậm với trẻ con nghịch xuống chậm chút xíu nhưng cáu nhặng lên, nói đi nói lại!",0,0,1,0
màu đỏ rất đẹp. nhưng gỡ seal màn hình ra thì thấy góc trái màn hình bị trầy. đã mua nhiều đồ công nghệ trên tiki nhưng lần này hơi thất vọng.,1,0,0,0
"tôi đang dùng iphone 6s khi đổi qua ip 13 thì thấy bị ám vàng, màu rất xấu và sóng yếu 1-2 vạch - tôi ở ku vực quận 9, khi so màu với vsmart vợ tôi dùng cũng không bằng. tiki liên hệ tôi đổi lại máy khác.",1,0,0,0
"tiki kiểm tra giúp, dây sạc pin khôn nhận điện thoại. khi cắm day sac vào điện thoại ip khác thì nhận, dùng dây khác thì vẫn vào, nhưng giữa dây sạc kèm điện thoại và điện thoại thì không sạc được",1,0,0,0
khung viền màn hình không thật sự sát với màn hình khi đem so với sản phẩm nhưng nguyên seal của cellphones.,1,0,0,0
"do lỗi app nên đặt bị sai màu, không hỗ trợ đổi màu dù liên hệ ngay với tổng đài sau khi đặt. đổ lỗi cho khách sản phẩm chứ không tìm hướng xử lý hỗ trợ khách sản phẩm",0,1,0,0
"hôm nay nghi ngờ mở ra testt áp thì bị mất áp suất => không nhưng khả năng chống nước nữa, không biết có bị mở máy không chưa, có bị thay thế linh kiện gì bên trong ko",1,0,0,0
không hai long dân phẩm thiếu chất lương,1,0,0,0
đt mua 5/3/2022. nay là 8/3/2022 đã không gọi được,1,0,0,0
"điện thoại mua bị hư phím, phím số 6 không thể nhấn được, nên không thể gọi cho bất kì nào có số 6 được. bây giờ mình biết liên hệ giải quyết vấn đề ra sao?",1,0,0,0
không thấy xuất hóa đơn vat,0,1,0,0
"hỏng ngay tuần đầu, bảo hành 2 tháng. hài",1,0,0,0
thật buồn hỏng rồi không dung được nữa khách sản phẩm gọi điện tới không nghe được,1,0,0,0
nhờ cửa sản phẩm xem lại đt giao camera bị lỗi chụp bị đóm hồng,1,0,0,0
đang xài tự nhiên mất nguồn mở không lên khu vực mình ở xa ngoài côn đảo.dien thoại làm ăn nhưng h gửi về thì làm ăn gì nữa,1,0,0,0
"bao da tặng cùng chất lượng được tốt, dễ nứt vỡ.",1,0,0,0
"mua về mấy bữa hư luôn. không gọi được, gọi cũng không chuông hay báo gì hết. chất lượng kém chất lượng quá.",1,0,0,0
"chua nhận được hóa đơn đỏ, vui lòng gửi về email:",0,1,0,0
"âm lượng nhỏ, khó nghe lắm!",1,0,0,0
tôi vẫn chưa nhận được hóa đơn vat mặc dù lúc mua có khai báo,0,1,0,0
"sử dụng bình thường, mới dùng nên chưa có sự cố, giao sản phẩm trễ 1 tuần so với lịch.",0,0,1,0
"cảm giác nó khá chậm lag lag, hay do máy đọc sách nào cũg v nhỉ",1,0,0,0
"đánh giá không tính điểm không hiểu sao những đánh giá bên trên cái nào cũng tốt nhưng sau khi mua sản phẩm thực tế xong tôi thấy thất vọng. nhà bán chỉ gửi 1 tờ hướng dẫn ghi vắn tắt kèm theo đường link để download về tự xử lý. ngày đầu liên hệ không phản hồi. ngày hôm sau thì trả lời chung chung chứ không hỗ trợ cụ thể. nói chung là đối với những ai không rành thì cài rất mất công, không dễ sử dụng như kindle. mình đang sử dụng kindle ppw4 thấy cầm nhẹ hơn libra2 khá nhiều, có thể lúc đầu chưa quen nên thấy vậy. chất lượng màn hình thì tốt hơn do có đèn vàng nhưng chênh lệch khoing nhiều lắm.",0,1,0,0
