content,Quality,Service,Shipping,Packing
"không nét như monh chờ, chỉnh cỡ nào cũng rõ ở 1 mức độ rất thường. coi phim lâu nhức mắt .âm thanh thì tốt",1,0,0,0
"máy bị lỗi, đang xem tự động tắt trình chiếu mặc dù đã cài đặt tắt chế độ bảo vệ màn hình",1,0,0,0
"hình ảnh mờ, tương thích iphone kém, nhiều lỗi khi kết nối iphone so với các thiết bị khác như fpt box hay ibox tv…",1,0,0,0
giao chất lượng tốt. test cũng được! nhưng trong hộp lại thiếu cộng dây usb nối dài. không biết sản phẩm này tp-link đóng gói không cho vào hay là bên bán sản phẩm đã lấy ra.,0,0,0,1
"sản phẩm nguyên seal của nhà cung cấp. xài tốt, nhưng các loại dongle wifi của tp-link hay bị lỗi không nhận wifi 5ghz của router ở một số kênh chanel , mình bị lỗi này và phải chỉnh lại router mới sử dùng được băng tầng kép.",1,0,0,0
"sản phẩm đẹp, hỗ trợ cả chuẩn ac và mimo nên chất lượng kết nối tốt. có đầy đủ driver cho windows và mac. tuy nhiên nó có những nhược điểm sau: 1. kích cỡ khá lớn nên khi gắn vào laptop hoặc pc có khả năng nó sẽ che mất các cổng kết nối bên cạnh. có lẽ kích cỡ lớn là do hỗ trợ cả 2 chuẩn mạng nên cần nhiều anten hơn. mình nghĩ sản phẩm này thích hợp với pc hơn laptop. mua cho laptop nên mua sản phẩm cấp thấp hơn. 2. trên windows 10, driver mới nhất của sản phẩm cũ hơn driver do microsoft cung cấp nên windows tự động dùng driver của nó thay vì driver của hãng. kết quả là tính năng mimo không hoạt động, đồng thời mỗi lần khởi động thiết bị đều bị disconect và reconnect lại. mình đã thử cài lại driver, chọn driver mặc định trong device manager nhưng vẫn không khắc phục được.",1,0,0,0
- vừa nhận sản phẩm sau khi đặt hơn 1h - rất tốt - sản phẩm giao được đóng trong hộp cũ có thể bỏ qua - hộp bên trong không nhưng nilon bao bọc - sản phẩm thiếu nắp và dây nối dài tiki bán sản phẩm cũ cho khách à?,0,0,0,1
chất lượng kém chất lượng không dung quảng cáo và không hoàn lại được chán,1,0,0,0
"yêu cầu đổi trả và đã gửi trả sản phẩm nhưng cửa sản phẩm không trả tiền và cũng chiếm lấy sản phẩm của khách. đề nghị tikki xem xét và trả lại tiền,",0,1,0,0
tốn mấy trăm nhưng không thể bắt được wifi 5ghz .cực kì thất vọng,1,0,0,0
"con này chỉ hỗ trợ kênh 36-64 mới bắt được sóng 5g, bắt buộc modem wifi phải chỉnh về kênh 36-64. chỉnh ở nhà để dùng thì được, mỗi lần ra quán cf là con t4u này chỉ bắt được wifi 2.4g, trong khi điện thoại bắt 5g vô tư, không lẽ cứ mỗi quán cf là phải hỏi chủ quán pass modem để vô chỉnh lại kênh. nhưng quán nào cho khách pass modem để vô chỉnh. thật sự thất vọng.",1,0,0,0
không hiểu sao mua cái này về cài đặt mãi nhưng vẫn không nhận wifi 5g. chỉ vào được wifi 2.4 nên tốc độ chậm. buồn.,1,0,0,0
tôi mới mua về đã bị hư rồi như vậy phải làm sao,1,0,0,0
không bắt được wifi 5ghz channel > 100,1,0,0,0
tốc độ ngang cái tp link trăm mấy. đánh liên minh nhưng bị disconected suốt trong khi thằng bạn kế bên xài tp link trăm mấy ngon lành. mua cái giá giá rẻ thôi được rồi.,1,0,0,0
không biết mình xui hay sao nhưng mua phải cái lỗi không sài được.tiki đã hổ trợ đổi trã đóng gói cẩn thận mình nghĩ mình xui thôi nên sẻ đặt lại cái khác nếu bị nữa chắc không phải do xui,1,0,0,0
khó cài đặt .cửa sản phẩm hỗ trợ thì sẽ tốt hơn,1,0,0,0
nhận sản phẩm chưa dùng nhưng có tiếng kêu trong sản phẩm như linh kiện bị lỏng.,1,0,0,0
"giật lag như điên! vô trận nhưng nó đứng yên, load đỏ, r s đánh ?",1,0,0,0
actived xong bị cái này lâu lâu office lại treo biết thế dùng crack cho rồi,1,0,0,0
"không thể kết nối được với router, liên tục báo lỗi kết nối do quá thời gian mặc dù tôi đã làm đủ cách theo hướng dẫn.",1,0,0,0
tôi muốn trả lại sản phẩm thì liện hệ cửa sản phẩm như thế nào chất lượng sản phẩm không như quảng cáo sóng wifi không hề cải thiện nhưng nhưng yếu hơn khi chưa kết nối sản phẩm kích sóng,1,0,0,0
"mua được 10 ngày thì bị lỗi không kết nối được, làm lại nhiều lần cũng không được đèn vàng nháy liên tục nhưng không tắt .",1,0,0,0
chua dùng đến 1 ngày nhưng đèn báo hiệu không sáng rồi báo ngoại tuyến chắc hư rồi chất lượng tệ quá,1,0,0,0
"khi kết nối kích sóng không thể vào được web cũng như app, trong khi wifi gốc vẫn vào được. liên hệ hotline tiki thì không phản hồi và bảo hành hay trả sản phẩm. mn không nên mua",0,1,0,0
"chào cửa sản phẩm, mình mua về, cấu hình dùng sóng tốt. nhưng để qua 1 đêm thì mất sóng. check lại thì thấy cục repeater không nhưng vào điện nữa. có vẻ cục thiết bị đã bị lỗi. nhờ cửa sản phẩm hỗ trợ check giúp.",1,0,0,0
"giao sản phẩm quá lâu. đang cài đặt thì đèn báo không sáng, không kết nối được. xin đổi lại sản phẩm.",1,0,0,0
"không thể kết nối được, toàn gặp lỗi, mình đã thử qua nhiều cách nhưng vẫn không được",1,0,0,0
dùng được 1 tháng phát đơ luôn,1,0,0,0
"xài được khoảng 1 tuần là hỏng, không qua điện nữa. nên cân nhắc trước khi mua.",1,0,0,0
không sử dụng được. cửa sản phẩm bảo bạn tự book giao sản phẩm từ hn vào hcm mang qua bên mình bảo hành,1,0,0,0
mình kết nối được vs wifi tp-link ở nhà. tới bước cuối cùng là lỗi không tìm thấy bộ định tuyến mặc dù đã để 2 thiết bị gần nhau.,1,0,0,0
ghi thông tin là có thể thu và chuyển phát sóng 5g nhưng thực tế thì không được. lừa đảo,0,1,0,0
"làm theo hướng dẫn, reset lại nhiều lần vẫn không kết nối được với app. đèn liên tục nhấp nháy vàng nhưng app không tìm thấy. lh số hotline để hỏi hỗ trợ thì cả ngày không lh được. haiz",1,0,0,0
"nhỏ gọn , xài được nhưng tốc độ kém.",1,0,0,0
quá khó để cài đặt báo lỗi tùm lum,1,0,0,0
không hài lòng chất lượng kém cho lắm,1,0,0,0
thực hiện mãi nhưng không kết nối được,1,0,0,0
mới dùng được 2 tiếng thì mất đèn trên repeater sản phẩm lỗi quá mng đừng nên mua,1,0,0,0
"sản phẩm đã bóc tem, vỏ thì ọp ẹp, ổ cứng như ổ cũ đã dùng rồi vậy. dây cáp đã bóc rồi không có dây buộc bảo vệ. nói chung là cửa sản phẩm này làm ăn bát nháo.",0,0,0,1
"mình mua ổ 5t, dùng chưa đầy 2 tháng thì ổ cứng đã báo lỗi, hơi thất vọng",1,0,0,0
dùng được 2 ngày thì cắm vào các máy đều không mở được ổ cứng hoặc không tìm thấy ổ cứng luôn. rất tệ. tôi phải bảo hành ở đâu?,1,0,0,0
"nhà bán sản phẩm đăng bài sai sự thật, hỏi liên hệ hỗ trợ thì giải thích quanh co. nếu không dùng được phần mềm như bài đăng thì ổ cứng này có gì đáng mua đâu, nhưng người bán nhưng nói phần mềm có hay không không quan trọng, cài không được thì thôi. quá vô trách nhiệm với nội dung sản phẩm mình đăng bán. bài đăng chỉ ghi ""tương thích hệ điều hành: windows /mac: đã được định dạng sẵn exfat cho windows 7, 8.1, 10 và mac os. phần mềm hỗ trợ: wd discovery bao gồm: wd backup, wd security, wd utilities kèm sẵn trong ổ cứng, bạn có thể cài đặt nếu sử dụng.""--> vậy nhưng tôi dùng win 7, cắm vào không dùng được phần mềm thì nói em bán ổ cứng nên bài đăng là ổ cứng, phần mềm thì phải dùng win 10 trở lên. bó tay",1,0,0,0
"không biết đo không được đóng gói cẩn thận, hoặc sản phẩm tồn kho lâu nhưng mở ra ổ cứng bị trầy xước nhiều, các vết xước nhỏ li ti rất nhiều",1,0,0,0
"mình mới xài được 1 tháng nhưng nay cắm vào máy không nhận ổ cứng nữa không hiểu tại sao, không lấy được dữ liệu để làm việc",1,0,0,0
ổ cứng 2t chưa chưa được 1 nữa dung lượng. xài 4 tháng có dấu hiệu bất thường. kêu tích tích như bom hẹn giờ. nt cho cửa sản phẩm thì không nhận được sự phản hồi giải thích. thất vọng,1,0,0,0
"thiết kế mỏng nhẹ. chép dữ liệu tạm ổn tốt tốt. tuy nhiên, khi sử dụng lâu hay bị lỗi như hình đính kèm. phải gỡ ra, ghim lại thì mới sử dụng được rất bực bội. trong khi cái ultra passort của wd mình gửi mua từ nước ngoài về dùng im ru.",1,0,0,0
"mới mua hôm 3/2 ghi được tần 170gb là không ghi được nữa, trong 170gb ghi được thì đâu hơn 1 nữa file là không đọc được trên máy copy file qua ổ và lấy ổ cắm vào 4 máy khác cũng không đọc được file đến sáng nay cắm vào lại thì báo e: ís not accessible the request failed due to a fatal device hardware error yêu cầu cửa sản phẩm xem xét đổi sản phẩm cho mình, tin tưởng ung hộ tiki bấy lâu nay hi vọng tiki không làm mình thất vọng",1,0,0,0
"nhận sản phẩm xong nghĩ ổ 4tb thì đủ để backup dữ liệu nên đưa hết dữ liệu vào lưu trữ, chưa được 1 tháng thì bị lỗi máy tính không nhận diện được đã thử cắm 4 máy tính khác nhau . vậy là mất hết dữ liệu, qui trình bảo hành thì nhiêu khê, đến giờ vẫn chưa biết có bảo hành được không, và tiki cứ xóa bình luận tiêu cực về sản phẩm thì kêu khách sản phẩm đánh giá làm gì?",1,0,0,0
"vừa mua hôm 02/1; chép vào khoảng 200gb dữ liệu; tối qua 4/1 có dấu hiệu lỗi không ghi file, tạo foder gì được .sau có có copy được 40gb nữa. hôm nay 5/1 thì 1 số file không đọc được và rồi ""chết"" luôn; không nhận diện được ổ cứng nữa. ham giá giá rẻ có thể mất tiền. nhưng dữ liệu, hình ảnh.giờ ai bồi thường? - chắc là tự chịu rồi.",1,0,0,0
"ổ cứng mua về bị hư, không sử dụng được",1,0,0,0
"sản phẩm lỗi , ổ cứng không dùng được !",1,0,0,0
"không giao đúng mã sản phẩm, vỏ hộp 35a/85a/325 nhưng bên trong là 435a/285a",0,0,1,0
sản phẩm đã mục nát không sử dụng được,1,0,0,0
"vì 2 cái chấu 2 bên của hộp mực để gài vào trong máy in rất dễ gãy, mình vừa đặt vào kéo ra vào 1 chút bị gãy luôn. nhưng hộp mực đi theo máy thì kéo ra vào thoải mái không gãy, nhựa tốt hơn nhiều. nên hộp mực mới cũng không dùng được luôn, hỏng. thất vọng.",1,0,0,0
"không đúng cho máy in của minh, đổi không trả lời",0,1,0,0
"sản phẩm chuyên nhanh, đóng gói cẩn thận. lắp vào máy in bị lỗi vệt ngang như ảnh, đề nghị cửa sản phẩm đổi hộp mực khác",1,0,0,0
mực máy in mua về không xài được,1,0,0,0
