content,Quality,Service,Shipping,Packing
dây đeo không chắc dễ bị đứt dây,1,1,1,1
mình nhận sản phẩm sao không có gift tẩy trang,1,1,1,1
"tiki bán ghi là mua dầu gội tặng dầu xả nên mình nghĩ là giá này thì mua được 1 cặp. mình quên đọc kỹ thông rin và kiểm tra sản phẩm tặng trong giỏ sản phẩm trước khi đặt sản phẩm, giao sản phẩm đến chỉ thấy có dầu gội, bạn chăm sóc khách sản phẩm bảo do hết quà tặng, dặn lần sau nhớ kiểm tra kỹ trước khi đặt sản phẩm. tốt lỗi của mình xớn xác nhưng nhận sản phẩm không vui nhưng không muốn ảnh hưởng đến bạn giao sản phẩm nên mình không trả sản phẩm. mình đánh giá 1 vì không vui, đặt mua 2 món nhận được chỉ 1 món.",1,1,1,1
"tẩy không sạch, mùi không được tốt, dễ văn tùm lum",1,1,1,1
trên hình ảnh có tặng thêm 1 hủ lúc giao sản phẩm thì không có tặng treo đầu dê bán thịt,1,1,1,1
sản phẩm bình thường xả không mướt tóc như những loại khác của dove nhưng mình đã dùng,0,0,0,0
tiki ơi đây có phải sản phẩm giả không vậy? không thể gắn vào bàn chải được nghen,1,1,1,1
sản phẩm giao như vầy làm sao nhưng xài tiki. tôi mua bàn chải điên nhưng chỉ có đầu bàn chải không vậy.,1,1,1,1
do đọc không kỹ nên nhận về mới biết là chỉ có 4 đầu bàn chải. cho hỏi mình có thể mua loại thân bàn chải nào có thể lắp vừa đầu bàn chải này. giá dưới 300 thôi ạ,1,1,1,1
"gửi nhầm sản phẩm ,mình đặt locknlock nhưng gửi lock lock",1,1,1,1
không hài lòng về sản phẩm bất tiện,0,0,0,0
"đặt mua bàn chải, nhưng giao đầu bàn chải, đề nghị đổi lại dùm",1,1,1,1
"dùng tạm ổn tốt,lắp vào bản chải cùng hãng cũng không khớp lắm.",0,0,0,0
giao sản phẩm chậm hơn dự kiến,1,1,1,1
không vừa với thân bàn chải điện,1,1,1,1
tưởng có cả cái bàn chải ai ngờ có 3 cái đầu,1,1,1,1
"sản phẩm như sản phẩm dùng rồi, quá tệ",1,1,1,1
"sản phẩm có mã vạch nhưng không quét được, do mã vạch không đúng. nghi sản phẩm quá",1,1,1,1
không có quà tặng kèm như quảng cáo,1,1,1,1
"lọ này đã hết hạn từ ngày 17/2/2022 vậy nhưng vẫn bán , thật tức giận",1,1,1,1
sản phẩm đóng gói cẩn thận nhưng không có quà như lúc đăng ký mua,1,1,1,1
kg hài lòng về cách tiki sử lý cho không/h,0,0,0,0
"hộp có dấu hiệu bị mở, bát loa tặng kèm vỡ nát bét",1,1,1,1
sem khối lượng quá ít sai với mô tả sản phẩm,1,1,1,1
cửa sản phẩm để đơn 150k sẽ tặng gấu bông chuyên gia nhưng nhận sản phẩm không có quà,1,1,1,1
lúc mua thấy có quà tặng nhưng lúc nhận không có quà tặng,1,1,1,1
"mình đặt sản phẩm lúc tối 03/07 và đã chọn giao sản phẩm trước 12g trưa 04/7, do đặt dùm bạn. đến tận chiều tối hôm nay là 3 ngày mới giao cho bạn mình. mình chọn giao nhanh với phí giao sản phẩm giá cao và đã thanh toán hết rồi chứ không thôi đã hủy đơn. cùng ở tp.hcm nhưng chẳng hiểu sao lại giao lâu thế. thất vọng thật sự.",1,1,1,1
sao tôi mua đơn sản phẩm trên 199 không nhưng không được tặng sét mini đơn sản phẩm của tôi là 278k,0,0,0,0
không bjo mua của cửa sản phẩm này nữa. kinh doanh nhưng,1,1,1,1
"không thik sản phẩm lắm, 2 tuýp nhưng có 1 tuýp có vẻ lượng ít hơn tuýp nhưng lại.",1,1,1,1
sửa rửa mặt dùng rất tốt. giao sản phẩm nhanh,0,0,0,0
không rửa sạch bụi bẩn gì cả,1,1,1,1
