id,title,content,rating
20129779,Rất không hài lòng,"tôi không thể dùng sản phẩm, tôi có thể trả lại hàng không?",1
20129779,Rất không hài lòng,"tôi không thể dùng sản phẩm, tôi có thể trả lại hàng không?",1
20056489,Rất không hài lòng,"Nước sơn đẹp, khá chắc chắn, dễ lắp đặt, trải nghiệm sơ bộ thấy tốt, hơi rung (74kg)
Giao hàng rất tệ, đặt 12 đến 27 mới giao, nhân viên giao hàng gọi điện báo giao chậm cho khách 2 3 lần, nhưng tự cập nhật trên hệ thống giao hàng không thành công, đổ lỗi cho khách hàng, hẹn giao cho khách, trễ hơn 2h khách gọi hỏi lúc nào giao thì không trả lời rồi cúp máy",1
20000179,Bình thường,"May không có sách hướng dẫn lắp ráp, không có hướng dẫn sử dụng ….",3
20056489,Rất không hài lòng,"Nước sơn đẹp, khá chắc chắn, dễ lắp đặt, trải nghiệm sơ bộ thấy tốt, hơi rung (74kg)
Giao hàng rất tệ, đặt 12 đến 27 mới giao, nhân viên giao hàng gọi điện báo giao chậm cho khách 2 3 lần, nhưng tự cập nhật trên hệ thống giao hàng không thành công, đổ lỗi cho khách hàng, hẹn giao cho khách, trễ hơn 2h khách gọi hỏi lúc nào giao thì không trả lời rồi cúp máy",1
20000179,Bình thường,"May không có sách hướng dẫn lắp ráp, không có hướng dẫn sử dụng ….",3
20232023,Rất không hài lòng,"Quần chật, hoàn lại để đổi lên cỡ to hơn mà cuối cùng vẫn gửi lại size cũ ?",1
20085976,Không hài lòng,Túi không đựng được điện thoại,2
20232023,Rất không hài lòng,"Quần chật, hoàn lại để đổi lên cỡ to hơn mà cuối cùng vẫn gửi lại size cũ ?",1
20085976,Không hài lòng,Túi không đựng được điện thoại,2
20221382,Rất không hài lòng,"Người bán coi thường khách hàng, giao 2 lần liên tiếp đều sai. Mua 25” giao 28”. Chat trước khi mua lại. Sau đó mua lại 25”, tiếp tục giao 28”.",1
20221382,Rất không hài lòng,"Người bán coi thường khách hàng, giao 2 lần liên tiếp đều sai. Mua 25” giao 28”. Chat trước khi mua lại. Sau đó mua lại 25”, tiếp tục giao 28”.",1
19605266,Bình thường,"Mua 2 cái, 1 cái dùng ok, 1 cái con trai bóp 1 cái gẫy làm 2 luôn. Giao hàng nhanh, bao gói cẩn thận.",3
19766057,Không hài lòng,Sản phẩm ko đúng như mô tả,2
19603215,Không hài lòng,Sài mấy ngày bị gãy tệ quá,2
20174511,Bình thường,không trả lời tin nhắn của khách hàng dù đã nhắn rất nhiều lần. không biết có lỗi hệ thống hay gì ko.,3
20174510,Không hài lòng,không trả lời tin nhắn của khách hàng dù đã nhắn rất nhiều lần. không biết có lỗi hệ thống hay gì ko.,2
20174511,Bình thường,không trả lời tin nhắn của khách hàng dù đã nhắn rất nhiều lần. không biết có lỗi hệ thống hay gì ko.,3
20174510,Không hài lòng,không trả lời tin nhắn của khách hàng dù đã nhắn rất nhiều lần. không biết có lỗi hệ thống hay gì ko.,2
20228745,Rất không hài lòng,Hàng không đúng quảng cáo! Gọi điện cho shop 3 cuộc không bắt máy (giá cắt cổ),1
20228745,Rất không hài lòng,Hàng không đúng quảng cáo! Gọi điện cho shop 3 cuộc không bắt máy (giá cắt cổ),1
19586439,Bình thường,"sản phẩm tốt, chất lượng okie, giao hàng nhanh. Tuy nhiên shop có hơi nhầm là giao hai cái cùng 1 bên.",3
19236302,Bình thường,"Mùi hoá chất cực kỳ hôi, đã giặt 3 lần vẫn chưa hết mùi.",3
19586439,Bình thường,"sản phẩm tốt, chất lượng okie, giao hàng nhanh. Tuy nhiên shop có hơi nhầm là giao hai cái cùng 1 bên.",3
19236302,Bình thường,"Mùi hoá chất cực kỳ hôi, đã giặt 3 lần vẫn chưa hết mùi.",3
19591376,Rất không hài lòng,"Shop ơi, tôi chưa nhận được hàng, và cũng không nhận được cuộc gọi nào từ nhân viên giao hàng cả. Điện thoại tôi báo giao hàng thành công là sao vậy? Tôi không hiểu sao nữa. Hàng của tôi đã thanh toán trước rồi, shop không giao đúng địa chỉ, hay giao lộn người khác, nếu vậy thì shop phải hoàn toàn chịu trách nhiệm, không thì hoàn tiền lại cho tôi đi chứ. Shop làm việc như vậy lần sau ai dám mua hàng của shop nữa.",1
19591376,Rất không hài lòng,"Shop ơi, tôi chưa nhận được hàng, và cũng không nhận được cuộc gọi nào từ nhân viên giao hàng cả. Điện thoại tôi báo giao hàng thành công là sao vậy? Tôi không hiểu sao nữa. Hàng của tôi đã thanh toán trước rồi, shop không giao đúng địa chỉ, hay giao lộn người khác, nếu vậy thì shop phải hoàn toàn chịu trách nhiệm, không thì hoàn tiền lại cho tôi đi chứ. Shop làm việc như vậy lần sau ai dám mua hàng của shop nữa.",1
17628219,Không hài lòng,"treo người lên khá là đau giữa 2 bên nách do bị tì đè nặng mà miếng đệm không đủ êm, thanh treo khó cố định trên tường",2
19379302,Rất không hài lòng,ai chưa dùng ko nên mua mang vào chừng 5p là ko thở nổi,1
17560864,Rất không hài lòng,"Giao size nhỏ quá , chất liệu vải mỏng , các chốt khóa yếu có thể sứt ra bất kỳ",1
17953360,Rất không hài lòng,"Khi treo lên rất là đau hai bên nách, lớp đệm 2 bên quá mòng. Các khóa ko chắc chắn treo người lên là tụt dây",1
19545189,Rất không hài lòng,"Gây đau nách, ko đu đc lâu.",1
18714622,Bình thường,Không sử dụng được nó không bám được vào eo mà nó tuột luốt hà.,3
17428719,Bình thường,"Các dây đeo may quá mỏng mảnh, và chiều cao đai quấn thấp khó chịu được sức nặng trên 60kg",3
17628219,Không hài lòng,"treo người lên khá là đau giữa 2 bên nách do bị tì đè nặng mà miếng đệm không đủ êm, thanh treo khó cố định trên tường",2
19379302,Rất không hài lòng,ai chưa dùng ko nên mua mang vào chừng 5p là ko thở nổi,1
17560864,Rất không hài lòng,"Giao size nhỏ quá , chất liệu vải mỏng , các chốt khóa yếu có thể sứt ra bất kỳ",1
17953360,Rất không hài lòng,"Khi treo lên rất là đau hai bên nách, lớp đệm 2 bên quá mòng. Các khóa ko chắc chắn treo người lên là tụt dây",1
19545189,Rất không hài lòng,"Gây đau nách, ko đu đc lâu.",1
18714622,Bình thường,Không sử dụng được nó không bám được vào eo mà nó tuột luốt hà.,3
17428719,Bình thường,"Các dây đeo may quá mỏng mảnh, và chiều cao đai quấn thấp khó chịu được sức nặng trên 60kg",3
19269179,Bình thường,Không dùng hiệu quả đau tay,3
18258195,Không hài lòng,"Khó sử dụng do dây đai hơn ngắn, bất lợi nếu ko có chỗ treo",2
17144602,Rất không hài lòng,"Đừng mua nếu không muốn phí tiền. Đai không treo được, thiết kế kém nó sẽ bụ tuột",1
17099874,Rất không hài lòng,"dùng rất đau nách, sử dụng đúng 2 lần xong vứt xó",1
17237005,Rất không hài lòng,Đeo vào tuột đến nách. Không phù hợp,1
17278613,Rất không hài lòng,tụt mỗi khi đeo không như quảng cáo,1
19954482,Bình thường,"Tương đối, nhưng thảm quá mỏng, tập dễ đau chân, đầu gối.",3
19424733,Không hài lòng,"Mặt dưới bị sẹo cắt mất 1 góc, mặt trên lỗ rỗ. Rất tệ! Sau này tẩy chay kg mua hàng của shop này nữa",2
19767205,Rất không hài lòng,"Chất lượng quá kém, thảm quá mềm, lún, mau rách.",1
19954482,Bình thường,"Tương đối, nhưng thảm quá mỏng, tập dễ đau chân, đầu gối.",3
19424733,Không hài lòng,"Mặt dưới bị sẹo cắt mất 1 góc, mặt trên lỗ rỗ. Rất tệ! Sau này tẩy chay kg mua hàng của shop này nữa",2
19767205,Rất không hài lòng,"Chất lượng quá kém, thảm quá mềm, lún, mau rách.",1
16389032,Rất không hài lòng,giao không đúng màu. đặt xanh dương giao. anh lam,1
14037952,Rất không hài lòng,Shop cho màu đen xì xấu quá,1
14977573,Rất không hài lòng,"Màu không hài lòng , sản phẩm giao đúng ngày",1
13052233,Bình thường,"thảm hơi hẹp , còn lại ok",3
