content,Quality,Service,Shipping,Packing
không có gấu bông tặng kèm,0,1,0,0
"mua sữa nhiều lần bên tiki, nhưng lần này bóc ra thấy bị móp. hơi thất vọng",1,1,0,1
"thái độ nhân viên giao sản phẩm gì t có thể dùng từ “láo” tự ý hoàn đơn khi khách hẹn ngày khác lấy quy định sản phẩm lưu kho 5 ngày nhưng dám nói chỉ lưu kho 3 ngày và khó chịu khi khách không nhận sản phẩm liền. không hề gọi cho khách nhưng dám cập nhật trạng thái “giao không thành công lần 1 rồi lần 2” tiki xử lý khiếu nại quá kém, thất hứa lỡ hẹn. hẹn 48 tiêng gọi lại phản hồi giải quyết khiếu nại, nhưng ko, khách không gọi lại thì chắc tiki quên luôn. khách gọi lại thì cứ xin lỗi với thông cảm ==> vì gì t chưa phản hồi nên chưa xử lý được. liên hệ bằng thì đợi đến mòn mắt . gọi đến gì t thì giống như gọi cho cái robot, thiếu não. ai rảnh thử đi sẽ cảm nhận được . kết luận: quá tệ. chưa kể tổn thất tinh thần vì bị bực bội mấy ngày liền, tiền gọi cho gì t và tiki cũng cả 100k. mua được đơn sản phẩm mắc mệt. cho 1 sao thấy nhưng không xứng. phải âm - sao. đợi tiki xử lý 2 đơn kia bị hoàn về bởi sự tự ý của nhân viên giao sản phẩm .",0,1,1,0
trời ạ. ghi là bộ đồ chơi. hóa ra 80k/ 1 con. con khủng long tí teo. quá thảm. quá thất vọng.,1,1,0,0
"bọc ni long trong suốt bên ngoài lúc nhận sản phẩm mình khá ngại, giao sản phẩm rất lâu mình chọn giao trong ngày nhưng mấy ngày sau nhưng không thấy tung tích gì",0,0,1,1
vài hộp sữa bị móp méo…….,1,0,0,1
"sản phẩm giao chậm 2 ngày so với dự kiến, mở ra thấy chai nước rửa bình đã gẫy vòi xịt, tìm trong thùng sản phẩm không thấy, chứng tỏ chai bị gẫy vòi từ trước chứ không phải do vận chuyển, vậy nhưng vẫn cố tình giao sản phẩm. bó tay.",1,0,1,0
bạn ơi size mình nhưng nhỏ xíu so với tả khác.mặc không vừa rồi có được đổi lại không bạn oi,1,1,0,0
"rửa không sạch, mùi hăng, không thơm dịu như mua ngoài cửa sản phẩm. thất vọng cực kỳ về sản phẩm này của cửa sản phẩm. lần đầu tiên cực kỳ không hài lòng với sản phẩm của tiki.",1,0,0,0
"sản phẩm sản xuất từ 1 năm trước 1.7.2021 , sản phẩm vận chuyển bị va đập móp hộp",1,0,1,1
"hương vị ngon , thơm. đóng gói sản phẩm lần mua này không đóng trong thùng giấy , chỉ bọc mỗi bọc chống shock như này thì thấy không cẩn thận. hy vọng tiki chú ý khâu đóng gói cho lần giao sản phẩm sau",1,0,0,1
"quân cờ có phần nam châm dưới đáy được làm khá ẩu không được bọc lại nên có nhiều mảnh vỡ nam châm rơi ra, đụng vào phần nam châm làm đen cả tay, làm trầy xước bàn cờ, có quân cờ bị nghiêng. quân cờ làm không được đẹp, không làm nổi bật các chi tiết của quân cờ, làm khó nhận ra đó là quân cờ gì hơn.",1,0,0,0
"giao sản phẩm lâu, sản phẩm giao tới bị đổ vỡ sữa bị mốc, vón cục. hi vọng được giải quyết tôi thực sự không hài lòng",1,1,1,1
