content,Quality,Service,Shipping,Packing
Giao sản phẩm trễ,0,0,1,0
Khi giao sản phẩm không có,0,0,1,0
Mình nghĩ là hết quà tặng kèm,0,1,0,0
Đóng gói sơ sài,0,0,0,1
Sách nhận bị rách bìa đỏ đóng gói,0,0,0,1
Ngoài ra đội hỗ trợ của tiki cũng rất chậm,0,1,0,0
Gói sơ sài,0,0,0,1
"Giao sản phẩm, sách bị móp góc không biết do vận chuyển hay do sản phẩm bị sẵn",0,0,1,0
Chắc không phải do vận chuyển,0,0,1,0
Giao chậm,0,0,1,0
Shipper khiếm nhã với khách sản phẩm,0,0,1,0
"Quà tặng định nhật con, đề nghị đổi lại hoặc hoàn tiền",0,1,0,0
"Giao sản phẩm trễ hẹn, thùng đựng giao tới móp méo",0,0,1,0
Bao bọc không kỹ bị rách gáy cong mép khá buồn,0,0,0,1
Sách không được bọc túi cẩn thận,0,0,0,1
"Giao sản phẩm thì chỉ đứng ngoài đường chính rồi gọi khách ra lấy sản phẩm trong khi đường hẻm vào địa chỉ cần giao rộng đủ xe con đi vào, giờ đây dịch vụ giao sản phẩm cũng tệ nốt thì bye bye và never see tiki again",0,0,1,0
Giao sản phẩm quá tệ,0,0,1,0
Sách quăn queo từ bìa đến trang giấy chắc chắn là trước khi đóng sản phẩm chứ không phải bên vận chuyển,0,0,1,0
"Thái độ nhân viên kém, gọi điện lúc đêm khuya",0,1,0,0
"Tôi hỗ trợ đổi trả rất nhanh gọn, nhân viên bảo tôi hoàn tiền từ 3, lừa đảo",0,1,0,0
Giao sản phẩm sách trầy trụa có mực viết bi như vậy,0,0,1,0
"Nhắn chăm sóc khách sản phẩm, không ai phản hồi, vào hỗ trợ khách sản phẩm thì bot chat tự động tiki care lần nào cũng yêu cầu nhập thông tin định danh",0,1,0,0
Sách chẳng có bao bọc gì,0,0,0,1
Liên hệ của tiki hoài không bắt máy,0,1,0,0
Sách giao sản phẩm đến nhanh,0,0,1,0
Dù đã được bao bọc kỹ,0,0,0,1
Giao sản phẩm quá tệ,0,0,1,0
Sách quăn queo từ bìa đến trang giấy chắc chắn là trước khi đóng sản phẩm chứ không phải bên vận chuyển,0,0,1,0
Sách hơi cũ và đóng gói không được cẩn thận cửa sản phẩm nhé,0,0,0,1
"Tôi hỗ trợ đổi trả rất nhanh gọn, nhân viên bảo tôi hoàn tiền từ 3, lừa đảo",0,1,0,0
"Chắc do vận chuyển, nma chắc đó là lỗi của giao sản phẩm",0,0,1,0
Giao sản phẩm sách trầy trụa có mực viết bi như vậy,0,0,1,0
Sách chẳng có bao bọc gì,0,0,0,1
Liên hệ của tiki hoài không bắt máy,0,1,0,0
Mong tiki xem lại chất lượng phục vụ cho khách sản phẩm,0,1,0,0
"Từ lúc gởi cho tiki đến giờ vẫn chưa nhận được phản hồi gì, mình gởi cũng không thấy trả lời lại, điện thoại chăm sóc khách sản phẩm thì không chuyển được tới đtv",0,1,0,0
"Chat với bên bán sản phẩm thì không ai hỗ trợ và chat lại, chat với tiki thì xử lý chậm và chưa xử lý đổi trả được, dễ đổi trả",0,1,0,0
"Giao sản phẩm bị móp méo làm cảm giác đi tặng, chứ giao sản phẩm bị méo hết sản phẩm thì sao, hoặc tiki phải đảm bảo được khâu giao sản phẩm chứ",0,0,1,0
Giao sản phẩm nhanh,0,0,1,0
Được cái giao sản phẩm nhanh thôi,0,0,1,0
Bẵng đi vài ngày thì tiki hoàn tiền chứ không đổi sản phẩm cho mình :d thế mình,0,1,0,0
Đóng gói không cẩn thận nên sách không được nguyên vẹn,0,0,0,1
Tổng đài gọi điện mới biết đơn sản phẩm đã giao,0,1,0,0
Cửa sản phẩm gói sản phẩm ẩu,0,0,0,1
Không freeship,0,0,1,0
Đóng gói không cẩn thận,0,0,0,1
Không bọc chống sốc,0,0,0,1
Không biết là do sách xả kho hay do bọc kém hay do vận chuyển,0,0,1,0
Quà tặng kèm là bộ bookmark tiki cũng đáng iu,0,1,0,0
Giao sản phẩm lâu,0,0,1,0
Gặp đủ thứ gói thì sơ sài giao tới nơi gáy sách trên thì nhăn,0,0,1,0
"Cho 1 sao vì gói sách ẩu tả, bỏ tiền mua book care để nhận được sản phẩm gói ẩu đoản ntn",0,0,0,1
Không biết là do quá trình vận chuyển hay do bọc bìa sách không cẩn thận nên xatr ra tình trạng này,0,0,1,0
Giao sản phẩm trễ,0,0,1,0
Giao sản phẩm chậm,0,0,1,0
Đơn vị vận chuyển làm mất sách,0,0,1,0
Khâu đóng gói thực sự tệ,0,0,0,1
"Tiki giao sách không kiểm kỹ, lại thì shipper đại vô nhà",0,0,1,0
Vận chuyển bị móp và có vệt ố,0,0,1,0
Nhắn tin thì tiki không ai trả lời,0,1,0,0
Chat with người bán không được,0,1,0,0
Tiki vận chuyển như thế này,0,0,1,0
Sách không được bảo vệ chỉ có hợp giấy đựng bên ngoài nên khi giao sản phẩm có va đập sách bị cong ở phần mép sách nhiều nhất là phần góc,0,0,1,0
Quá trình vận chuyển đã bị ép góc gãy gập hết cạnh,0,0,1,0
Bẹp trước đóng gói,0,0,0,1
Inbox hỏi thì không thấy ai phản hồi,0,1,0,0
