content,quality,service,shipping,packing
"cửa sản phẩm làm việc rất tệ. mình đã là khách của tiki nhiều năm, luôn mua sản phẩm cho tiki vì uy tín. nhưng lần này thì tiki và cửa sản phẩm xử lý vấn đề quá tệ. sản phẩm lỗi, báo tổng đài thì được hướng dẫn đóng gói và ghi mã vận đơn. nhưng không ai tới lấy sản phẩm về kiểm tra. khác hẳn , đóng gói xong có người tới lấy ngay. sau đó hoàn trả tiền ngay vì sản phẩm lỗi. nhưng tiki, luôn chủ động huỷ không nhận sản phẩm với cái cớ là gọi điện không bắt máy, dù tôi đã canh điện thoại rất nhiều ngày không ai gọi. đây đã là mã vận đơn thứ 3 tiki cấp và tôi dán chồng lên chuyển sản phẩm nhưng vẫn chưa có ai lấy. rất thất vọng vì cách làm việc vô trách nhiệm của tiki và cửa sản phẩm. giờ đã hiểu tại sao thị phần của tiki ngày càng hạn hẹp trong khi ngày càng gia tăng.",1,1,1,1
say chưa được 1 tháng đã không say được nữa rồi. mong muốn đổi trả,1,1,0,0
xạc nhanh đầy. nhưng không chạy được lâu.hết pin quá nhanh,1,0,0,0
"máy tốt, sữa mịn. nhưng quá ồn. tưởng chạy xe phân khối lớn trong nhà",1,0,0,0
"mua máy cả tháng nay mới bỏ ra dùng thì cối xay rò chảy nước hết ra ngoài. đề nghị tiki hỗ trợ bảo hành, đổi trả.",1,1,0,0
"nsx bằng hình ảnh. tốc độ lưỡi xay rất yếu và chậm, không thể xay bột thực phẩm chức năng chứ đừng nói đến trái cây. lưu ý: không được sạc pin để thử máy xay vì như vậy là đã dùng rồi nên không được đổi trả.",1,1,0,0
"sản phẩm bị lỗi, gởi bảo hành xong hoàn trả lại mình sản phẩm vẫn lỗi và không hoạt động được. dịch vụ kém, xử lý thiếu chuyên nghiệp.",1,1,0,0
không tiện lắm vì động cơ gắn liền với nắp khó vệ sinh.,1,0,0,0
cửa sản phẩm bán đạo toàn là bán sản phẩm hư sản phẩm không xài đươc,1,0,0,0
"tôi chưa nhận được sản phẩm nhưng sao đã nhắn là giao sản phẩm thành công, không có số đt để liên hệ , không hề có cuộc gọi đt từ ng giao sản phẩm tiki nhận sản phẩm quá tệ",1,1,1,0
dáng bình và màu đẹp nhưng dao không bén như mong đợi,1,1,0,0
máy bốc khói nghe mùi khét nhựa đề nghị trả sản phẩm,1,1,0,0
mình cũng sử dụng vài ba loại nồi nấu chậm. nồi này nấu cháo lúc nào cũng khét lòng nồi ở cả 2 chế độ nấu cháo.,1,0,0,0
lòng nồi rất dễ xước. khi nấu có lớp cháy bên dưới,1,0,0,0
sản phẩm khôn giữ được độ ẩm cho cơm,1,0,0,0
đã nhận và làm thử. xay mịn nhưng vẫn hơi ồn. điều mình không thích nhất là cái nắp hoàn toàn bằng nhựa pp. đun nóng liên tục trong thời gian dài nhưng bằng nhựa là thấy không yên tâm chút nào. không để ý kỹ chứ biết nắp nhựa là không mua rồi.,1,0,0,0
chê ! quảng cáo mua máy làm sữa được tặng bình giữ nhiệt . giao sản phẩm đến lại bắt thanh toán cả tiền quà tặng,1,0,0,0
"khá thất vọng, 2 lần đầu làm sữa hạt tốt không vấn đề. lần thứ 3 và thứ 4 làm liên tục bị tràn sữa ra ngoài. nhờ tiki giải quyết giúp. mình chỉ xay 4 lần từ lúc mua và để đó",1,1,0,0
máy hoàn thiện tốt nhưng công suất 2300w nhưng quạt lại yếu hơn cái máy tàu 400k. chức năng làm lạnh cũng không khác biệt gì bình thường.,1,0,0,0
"ulachoi, cũng vì thích 3 cái túi vải khuyến mãi kèm theo nhưng mua, ngờ đâu lại “20 ngàn / 0. nhỏ xíu 5 bự chà bá lửa kg”",1,0,0,0
"sản phẩm đẹp, chưa dùng nên chưa biết sao. giao sản phẩm nhanh, đóng gói cẩn thận. nhưng mua thấy được tặng kèm bộ dao nhưng không thấy có kèm quà tặng. nên chỉ cho 3 . sẽ thay đổi khi được phản hồi",1,1,1,1
cái nồi không khớp như này à cửa sản phẩm ơi?,1,0,0,0
sản phẩm chất lượng nhưng chương trình khuyến mãi có tặng kèm máy vắt cam thực tế không có. nên hơi khó chịu,1,0,0,0
khay lẩu đặt vào cứ lỏng lẻo không khớp và không chặt. đề nghị hãng trả lời câu hỏi này ạ,1,1,0,0
"sản phẩm đúng mẫu, giao nhanh nhưng nút điều chỉnh nhiệt độ chập chờn",1,0,1,0
"lực sấy kém vô cùng làm thất vọng, mùi nhựa hôi",1,0,0,0
minh không nhận được sản phẩm tặng như hình,1,0,1,0
"mình dùng mới được tầm 5 lần nhưng nấu lúc có áp lúc ko,tức là kiểu lúc nấu xong ấn nút van xả thì trong nồi không có tí áp suất nào để xả ra cả, vặn nắp là mở ra được luôn, không biết chế độ đổi trả hay bảo hành như thế nào. nhưng cảm giác mua nồi mới dùng được mấy lần đã chập cheng thế này thì quá tệ.",1,1,0,0
mình hài lòng về dịch vụ của tiki. nhưng mình không hài lòng về sản phẩm của elmich. mình mới dùng nồi có 3 tháng nhưng núm cao su van xả đã rơi ra. mình chưa dùng sản phẩm điện gia dụng nào nhưng vòng đời lại ngắn ngủi vậy. phải mua lại van giá 50k + 30k phí vận chuyển.,1,1,0,0
"phía trước nồi bị dính cục gì nhưng chà không ra, làm xấu cái nồi. trong lòng nồi bị trầy. quan trọng là thử nấu nước xem nồi tốt không thì lúc nấu mùi hôi từ sơn phía trong nồi khó chịu lắm! sợ nấu đồ ăn hay cơm bị ám mùi hôi đó vào thức ăn nên chưa dám nấu nữa.",1,0,0,0
"mình thấy nồi để 2,5l, nhưng lúc nhận sản phẩm nồi quá nhỏ kg bích đúng kích cở kg? huuu",1,0,0,0
"mọi người đừng mua sản phẩm của hãng này nhé . van nấu bị xì hơi bảo không bảo hành cái đó ,bảo tự mua ngoài. lạy luôn cái van đó mua ở đâu",1,1,0,0
"mua sản phẩm mới nhưng giao sản phẩm củ và trầy, móp rất nhiều",1,0,1,0
cửa sản phẩm không hỗ trợ chat máy mới mua về có 2 sản phẩm nút nhưng chỉ sử dụng được 1 sản phẩm . kính mong được hướng dẫn sử dụng nhưng nếu sản phẩm lỗi thì phải có hướng giải quyết,1,1,0,0
"sản phẩm giao bị gãy, hư hỏng. tôi muốn được hỗ trợ đổi lại sản phẩm khác",1,1,1,0
"so với giá tiền sản phẩm không xứng với chất lượng. máy sấy mạnh nhưng khi sấy tóc bị khô và rất sơ, không được trơn và mượt.",1,0,0,0
sản phẩm chất lượng đúng với thương hiệu lock lock đầy đủ phụ kiện và có chính sách bảo hành 1 năm kèm theo huớng dẫn sử dụng sản phẩm cho sản phẩm 5 sao.nhưng tiki nên xem lại thái độ dịch vụ của nhân viên viên giao sản phẩm “ giao lúc 8h sáng mình có việc ra ngoài không nhận đuợc hẹn 11h sẽ có mặt ở nhà để nhận vậy nhưng nói chị không nhận em trả về kho không giao nữa mai nghỉ nhưng thái độ nói chuyện kiểu hằng học . mình nghĩ sẽ không giao lại nên đã đặt bên khác . thì 11h đthoai gọi mình ra nhận trong khi lúc sáng đã nói không giao nữa thái độ giao sản phẩm thì như quăng luôn bịch sản phẩm cho mình tiki nên xem lại nhân viên giao sản phẩm bên mình nha . giao hay không nói đúng để mình biết mình lựa sản phẩm cuả dịch vụ khác.,1,1,1,0
"máy khá nặng, dùng mức gió cao nhất thì rung gây mỏi và tê tay. chuyển từ chế độ gió nóng qua gió mát thì mất mấy phút vẫn nhưng nóng, không mát ngay như các dòng máy khác.",1,0,0,0
"báo xuất hoá đơn, 1 tỉ lần seller vẫn không có phản hồi ! tiki thì báo có rồi lại không có, đợi hơn 1 tháng vẫn chưa giải quyết được ? thứ 6 báo đã có, nay gọi lên chăm sóc khách sản phẩm báo đợi tiếp 2 ngày? nếu không có hoá đơn thì báo cho người ta biết người ta đừng mua, rồi giờ mua cho công ty nhưng bị như này rồi sao mình hoàn ứng? có mỗi cái chuyện như này thôi cũng mất thời gian. chăm sóc sau bán sản phẩm tệ hơn chữ tệ. chỉ biết bán thôi thì mua chi rước cục tức !",1,1,1,0
trong hình ảnh quảng cáo và ảnh vỏ hộp có nắp dẹt thu gọn đường gió thổi nhưng thực tế bóc hộp không có. vui lòng giải quyết,1,1,0,0
"máy cầm khá nặng tay dễ gây mỏi, phần đầu máy gắn không chắc, khi va chạm nhẹ cũng đủ để bay ra.",1,0,0,0
"máy hoạt động bình thường tuy nhiên phần thân máy bị nứt ra như hình, mong tiki và cửa sản phẩm xem xét",1,0,0,0
tệ sản phẩm quá tệ! đầu nối dễ bung ra. chẳng dùng được!,1,0,0,0
"đóng gói không cẩn thận, sản phẩn cũ có trầy xước, máy đã bị tháo ra thấy có một con ốc bị trầy, thử thì máy hoạt động nói chung không hài lòng",1,1,0,1
"mua màu xanh cho nam nhưng giao màu hồng,rất chán luôn,cửa sản phẩm nên làm việc can thận hơn",1,0,1,0
"máy rất yếu sau khi sạc qua đêm 12h vẫn thế . tôi vừa mua tiki trading hơn 2 tháng trước, đặt cái thứ 2 nhưng tiki trading hết sản phẩm. nên tôi so sánh được, chứ nếu chỉ dùng cái này không biết nó yếu, cắt rât lâu mới đứt. đề nghị cửa sản phẩm đổi lại cái mạnh hơn hoặc trả lại sản phẩm.",1,1,0,0
mới mua được hơn tháng đã hỏng,1,0,0,0
"giá ảo thế, mua sản phẩm giá 630.000, giờ nhận sản phẩm vào xem có 573.000 là sao",0,0,0,0
sản phẩm giá giá giá rẻ .nên tạm ổn tốt chấp nhận,1,0,0,0
mô tả sản phẩm ghi sản xuất ở indonesia. sản phẩm giao đến thì sản xuất ở trung quốc. giống gạt khách sản phẩm quá!,1,0,0,0
máy quá yếu. cạo không sạch,1,0,0,0
"giao tới sản phẩm bị cấn bể từ lúc nào, hộp thì nguyên vẹn nhưng mở ra thì sản phẩm bị cấn bể như vật nhọn rơi trực tiếp vào sản phẩm. app tiki thì giải quyết lâu lắc chả có cái gì rõ ràng. đang cần dùng nhưng nhận lại sản phẩm chả ra sao. tôi liên hệ ngay sau khi shipper giao xong chưa tới 5ph. quá tệ quá thất vọng",1,1,1,1
"sản phẩm được đóng gói cẩn thận, máy mới có hoạt động. nhưng chạy lờ đờ không vắt được. mình mua sản phẩm qua app tiki khá thường xuyên, nhưng lần này thất vọng quá.",1,0,0,1
sản phẩm nhận quá tệ. không thể vắt cam được. bỏ cam vào vắt có hoạt động nhưng cáo vắt màu cam nó không xoay. nó cứ kêu è è. chán. tin tưởng các bình luận. mua về thử nó chạy. nhưng tới khi cắt cam bỏ vào vắt thử lại không chạy.,1,0,1,0
giao sản phẩm rất rất lâu 1 tháng 1 ngày mới nhận được. dù chỉ giao trong nội đô sài gòn. thật sự ám ảnh bởi tiki trading và tiki fast . tốn tiền đt gọi tổng đài 1k/phút cả chục lần vẫn không giải quyết được vấn đề ngoài câu trả lời em sẽ lưu ý em sẽ ưu tiên đơn sản phẩm này các kiểu bla bla.tôi phải đặt thêm 1 đơn khác y như vậy kiểu như mồi nhử thì 2 đơn sản phẩm đều được luân chuyển chuẩn bị giao dù đơn đầu tiên cách đơn thứ 2 gần 1 tháng. wtf thử hỏi nếu tôi không đặt thêm đơn sản phẩm kiểu mồi nhử như thế thì không biết năm thìn bão lụt nào tiki mới chịu giao sản phẩm. đừng đổ lỗi trong mùa dịch nhé. đơn sản phẩm tôi đặt cùng ngày trên shoppe đã giao từ lâu trong khi tiki vẫn loay hoay với trạng thái chờ xác nhận. một trãi nghiệm rất tệ từ tiki càng khẳng định đúng đắn hơn cho việc tôi chọn shoppe từ lâu. thân và chúc tiki pro hơn.,1,1,1,0
"mua về vắt được quả cam đầu tiên thì tốt. đến quả thứ 2 thì kêu to như máy xay, quả thứ 3 thì lúc ấn được lúc không. giao sản phẩm thì lâu cả nửa tháng mới đến. rồi thu hồi sản phẩm thì cũng không được rõ ràng, quy trình kém. tiki cho trải nghiệm mua sắm cực kì kém, nhân viên chat hỗ trợ rất lâu. mua mỗi cái máy vắt cam nhưng cả tháng không xog. mua bên chưa bh bị bực mình như thế này. không bao giờ mua sản phẩm trên tiki nữa.",1,1,1,0
"giờ mới khui sản phẩm, bị bể nhưng mình nghĩ bên nhà bán cố tình gửi sản phẩm bể chớ không thể để trong hộp nhưng bị bể như v được, vì không thấy miếng bể trong hộp",1,0,1,1
sản phẩm lock lock nhưng bị nứt như vậy. đã trả sản phẩm và hoàn tiền. không hoàn voucher 30 của dành cho không mới. mặc dù đây lỗi của tiki. những voucher khác cho thì nhiều không xài được cái nào hết. thanh toán zalopay được giảm nhưng chọn thì cũng chả được gì. phí vc thì tính cho cao. lần đầu và cũng là lần cuối đặt sản phẩm của tiki. bb,1,1,0,0
"cửa sản phẩm ơi, sản phẩm có dán tem là ""chú ý sản phẩm dễ vỡ"" nhưng bên trong lại không bọc chống sốc vậy, nhận sản phẩm kiểm tra thấy vỡ mất cái cối với nắp rồi. cửa sản phẩm xem xét đổi sản phẩm giúp mình.",1,1,1,1
đóng gói và vận chuyển bị nứt thân máy. vắt đến quả thứ 3 coi như bị nhỏ nước ra ngoài không dùng được. máy yếu nữa. quá thất vọng về sản phẩm. nghìn năm mới vào tiki mua sản phẩm nhưng lần nào cũng thất vọng!,1,0,0,1
"máy mới mua về mở hộp ra nghe tiếng lốc cốc bên trong, mở ra thấy nguyên con ốc bên trong, chân máy thấy cũ, có thể máy đổi trả bảo hành nên giá giá rẻ, nhưng mở chạy được nên không sao.",1,1,0,1
máy vắt mấy lần nhưng bị hư không quay được mong cửa sản phẩm hỗ trợ ạ máy mình mới mua 13/03/23,1,1,0,0
"khui hộp ra thì máy vắt cam bị bể tay cầm , mặc dù hộp đựng vẫn nguyên vẹn. tiki đổi giúp cho máy khác nhé !",1,1,0,1
"khui ra thấy bị bể cái nắp nhựa, nhưng đang cần gấp nên thôi xài luôn vì cái nắp cũng chỉ che bụi không ảnh hưởng việc sử dụng. đánh giá để tiki rút kinh nghiệm vận chuyển, thấy có note rõ trên kiện sản phẩm ""sản phẩm cực kỳ dễ vỡ"" nhưng rốt cuộc cũng bị vỡ!",1,0,1,0
"máy nhìn bề ngoài giống của hãng lock lock thật. nhưng nhìn kĩ sẽ thấy lớp nhựa mỏng hơn, nhìn ""dại"" hơn sản phẩm chính hãng. vắt cam xong, cho đường vào, lấy thìa inox khuấy cho tan đường là ca nhựa bị xước sản phẩm chính hãng thì không . tất nhiên, sản phẩm thật giá 360k, sản phẩm này chỉ 210k. nói chung, chịu giá cao tí nhưng sản phẩm chất lượng nhưng hơn chưa kể loại nhựa làm ra sản phẩm này có an toàn không",1,0,0,0
"nhân viên giao sản phẩm giao lúc không có người nhận ở nhà, cũng không hề gọi điện thông báo giao sản phẩm. tự ý bỏ sản phẩm ở sân nhà và báo giao sản phẩm thành công trong khi người nhận không hề biết thông tin gì . mình đặt mua cho ba mẹ ở nhà, trong này báo trạng thái giao thành công trong khi phụ huynh không hề biết gì gây tình trạng rất hoang mang. tôi không hề hài lòng với cách thức giao sản phẩm như vậy. đề nghị tiki xem lại cách giao sản phẩm của nhân viên",1,1,1,0
"sản phẩm nhận khui ra bị bể thùng và vỏ không sử dụng được , nhờ tiki kiểm tra lại với đơn vị vận chuyển và đổi hành giúp",1,1,1,1
"chất lượng không như kỳ vọng. mình gửi đi bảo hành nhưg lúc gửi lại cho mình thì thiếu quả khế để vắt cam và tháo ra chưa sửa chữa chưa ráp lại như trên hình, tuỳ sau đó có gửi cho mình 1 caia máy khác nhưg mình đánh giá cửa sản phẩm làm ăn không chuyên nghiệp. làm mất time của không/h",1,1,1,0
"vừa nhận máy xong lên thử thì máy chỉ kêu rè rè to thôi chứ không quay, không vắt được gì cả. đã liên hệ tổng đài, không biết kết quả ra sao. mình nhưng đặt 1 nồi chiên không dầu lock lock nhưng chưa nhận được, mình thấy hơi bất an có lẽ không nên mua sản phẩm điện tử online vì rất hên xui và chờ gởi đi gởi lại sản phẩm rất mất thời gian.",1,1,1,0
"máy quá yếu, không thể vắt cam được, đè mạnh hay đè nhẹ gì nó cũng rì rì đứng yên một chỗ.",1,0,0,0
máy này nhựa giòn. sản phẩm rất mong manh cực kỳ dễ vỡ nhưng không bao cẩn thận. vỡ mất cái nắp. rất là không hài lòng,1,0,0,0
"mua lần 1. chất lượng tốt mua lần 2. sản phẩm lỗi, không sài được => liên hệ tiki đổi mới => nhận sản phẩm khác lỗi tiếp => quá thời hạn 7 ngày nên phải bảo hành => liên hệ tiki bảo hành => chờ đợi quá 21 ngày theo quy định => liên hệ tiki => chờ đợi tiếp vẫn chưa thấy tương lai gì.",1,1,1,0
"máy dùng mấy ngày đầu thì khá êm. sau đó thì vắt theo chiều kim đồng hồ thì máy kêu to, nhưng chiều ngược lại thì lại kêu bình thường. vắt kiệt nước, vắt được cả tép cam, tuy nhiên lúc vắt vừa phải ấn vừa phải bóp cam thì mới nhanh kiệt nước.",1,0,0,0
máy chạy rất yếu. mỗi lần vắt được 2 quả là máy đơ phải 5 phút sau mới vắt được tiếp. mình mới dùng 3 lần. hôm nay vắt được quả rưỡi đã đơ. nhà đông người không nên mua. tiền nào của nấy!,1,0,0,0
"khá thất vọng ! bếp có 8 mức, thấp nhất là 80oc, hơi cao. các nút nhiệt, thời gian không được lưu, trong lúc nấu, khi cần điều chỉnh thường bị reset từ đầu. không có tờ hướng dẫn sử dụng kèm theo.",1,0,0,0
"bếp nóng mỗi 1 góc, dùng hơn năm đã lỗi e2 không nấu được",1,0,0,0
"sản phẩm khá oki, đổi trả hơi lâu.",1,1,0,0
"bếp nấu khi sôi không đều , như sản phẩm phếch ý. buồn quá không dám kêu . cửa sản phẩm lên xem lại sản phẩm của mình",1,0,0,0
"bếp nấu nhanh, nhưng khi nấu quạt chạy ồn.",1,0,0,0
"nhiệt làm nóng không đều, chỉ nóng 1 bên nồi",1,0,0,0
mới nhận sản phẩm và thử thì nồi bị lỗi e5. đổi lại giúp mình với,1,1,1,0
"giao sản phẩm quá chậm, từ khi đặt tới khi nhận sản phẩm gần 2 tuần",0,0,1,0
đánh giá không tính điểm tiki làm mất đơn sản phẩm khuyến mại đính kèm và trả lời rất vô trách nhiệm,1,1,0,0
hien tại chưa nhận lại nồi mới sau khi thu hồi bị lỗi? vui lòng hủy đơn sản phẩm và hoàn tiền lại,1,1,1,0
"dlđề nghị tiki cho xuất hóa đơn đúng địa chi mới sau khi sát nhập . 59/21a đường 8, khu pho 5 , phường thủ đức taâphcm. nhắn tin lên trên tiki nhân biên trả lời kiểu bắt chấp",1,1,1,0
"xài được 3 lần, hơi nặng nhưng vẫn tốt, đến lần thứ 4 thì bàn ủi bị trục trặc gì đó không ra hơi nước nữa. hiện đang tìm cách liên hệ người bán. trong lúc chờ đợi chắc mình mua cái khác xài tạm ổn tốt quá. hic mới đầu thử tin tưởng locknlock …thấy mn vẫn xài bt chắc do mình xu",1,1,0,0
"mới mua ủi đồ được 2-3 lần thì hôm nay không ra hơi, chảy nước liên tục gây phỏng tay. lần đầu mua đồ điện tử onl như thế này nhưng quá thất vọng, sợ tới già luôn. ra mua có gì nhưng được bảo hành. này coi như bỏ ra 700k dùng 3 lần r bỏ. khuyên mn không nên mua nhé",1,1,0,0
"bàn ủi không phun hơi nhưng cứ phun nước ra nóng bỏng tay ướt áo không ủi được, giờ sửa sao đây cửa sản phẩm ơi, mua 1 năm về dùng chưa được 5 lần vì lúc được lúc không, cứ bị trào nước ra hoài",1,0,0,0
"các nút điều khiển không dùng được. nút phun hơi thì không điều khiển được, nút nguồn thì không tắt được",1,0,0,0
"sản phẩm rất tệ, đã mang đi bảo hành 2 lần nhưng không khắc phục được tình trạng rỉ nước khi ủi, mọi người đừng mua nhé",1,1,0,0
"mình cần tư vấn về bảo hành của sản phẩm! mới dùng 1 tuần nhưng hôm nay đã bị lỗi, ghim điện vào thì bàn ủi tự động bơm nước, nước không thành hơi nhưng chảy ra ướt hết quần áo! mong sớm nhận được phản hồi",1,1,0,0
bàn ủi đổ nước vào mở máy kêu tạch tạch không lên hơi. nhờ tiki hổ trợ xử lý đổi trả lại dùm. cảm ơn ạ.,1,1,0,0
sản phẩm bị trầy xước nhìn như cũ,1,0,0,0
"bàn ủi bị nhiễu nước, đã đem đi bảo hành nhưng tình trạng vẫn như cũ. khởi động máy để ủi thì đèn chớp nháy liên tục, nước chảy thành dòng chứ không thả hơi nước. rất thất vọng, mọi người nên cân nhắc khi mua mẫu này",1,1,0,0
"máy là hơi nước mua mới đã lỗi, phải bảo hành đến lần thứ 2 nhưng chưa biết có dùng được không. mỗi lần bảo hành giao đi giao lại khoảng 5-7 ngày. mua máy hơn 2 tháng rồi nhưng chưa dùng được.",1,1,0,0
"mua 2 sản phẩm, 1 sản phẩm phải đổi đến lần thứ 3 do lỗi. ngược lại được bộ phận support đổi trả nhanh",1,1,0,0
"bàn ủi mới xài được khoảng 2 lần thì không thể phun hơi được nữa, nước chảy từng giọt ra trực tiếp gây phỏng cho mình. cho mình hỏi bây giờ muốn đổi trả bảo hành thì tiến hành như thế nào?",1,1,0,0
"bàn ủi mua về, dùng chưa tới 5 phút đã không dùng được nữa! xin cho tôi đổi sơnm nhất có thể",1,0,0,0
giao chậm. đánh giám 2 sao,0,0,1,0
"sản phẩm rất tệ, bị rỉ nước mang bảo hành 2-3 lần nhưng vẫn không khắc phục được",1,1,0,0
"ủi kém lắm, ủi xong thì quần áo ẩm ẩm",1,0,0,0
"bình nước quá nhỏ, ủi chưa hết 1 cái áo là hết nuóc và không thẳng vải",1,0,0,0
"sau 3 tháng máy lăn đùng ra chết, khởi động được 2 phút thì không ra hơi và tự tắt. mình phát hiện trong mô tả đồ sản phẩm khi có thông tin báo hành bảo nhiêu tháng",1,1,0,0
"tại sao trước khi giao sản phẩm không kiểm tra cho người tiêu dùng. sản phẩm lỗi, yêu cầu đổi mới!",1,0,1,0
"bàn ủi công suất phù hợp, ủi nhanh thẳng, mỗi tội mới xài nửa tháng đã bị hư, đã gửi tiki bảo hành gần 2 tuần ròi chưa thấy hồi âm",1,1,0,0
sản phẩm về sử dụng lần thứ nhất 20 phút sau đó châm thêm nước sử dụng lại đèn nhấp nháy liên tục và tự động chảy nước không sử dụng được nữa.,1,0,0,0
mình cần bảo hành làm tnao ah,0,1,0,0
sản phẩm bị lỗi không xử dụng được yêu caaufnhaf cung cấp đổi trả,1,1,0,0
"mình mua về được 3 ngày hôm nay mới lấy ra , không hiểu sao nó không phun hơi đều nhưng phun theo từng đợt + chảy nước khắp nhà! vui lòng hướng dẫn thêm!",1,0,0,0
"bàn là dùng lần thứ 2 đã hỏng, không ra hơi nước",1,0,0,0
chất lượng kém chất lượng. đội ngũ tiki xử lý vấn đề như quần què,1,1,0,0
chính sách bảo hành của tiki quá chán,0,1,0,0
mình chưa nhận được sản phẩm nhé cửa sản phẩm,1,0,1,0
"máy không phun hơi dù có điện vào, bàn là nóng",1,0,0,0
"đây không phải là sản phẩm của lock locck, sản phẩm nhái thương hiệu.",1,0,0,0
đánh giá cá nhân thì sản phẩm này phù hợp vs các bạn ủi đồ nhanh không cần quá thẳng.,1,0,0,0
tự dưng bàn ủi bấm không ra hơi nước nữa mặc dù vẫn vô điện và sờ vẫn nóng. nhờ tiki hỗ trợ bảo hành về sản phẩm,1,1,0,0
"khuyên mọi người đừng nên mua. ủi phun ra nước ướt hết đồ nhưng không phẳng, lại mau hết nước cầm rất nặng tay. hối hận khi mua",1,0,0,0
"mới mua được hơn 2 tháng ít dùng nhưng nay máy chạy kêu rừ rừ nhẹ nhưng không phun nước, cửa sản phẩm xử lý giúp mình",1,1,0,0
"mới mua giao sản phẩm hôm nay , bàn ủi hơi nước gì nhưng không phun sương nước chảy ra lênh láng tưởng phỏng luôn rồi , làm ơn cho em đổi sản phẩm lại đi cửa sản phẩm ơi",1,1,0,0
"máy không sử dụng được, hút nước lên kêu tạch tạch rồi xả ra",1,0,0,0
máy hiện không phun nước - cần yêu cầu bảo hành vui lòng phản hồi thông tin cho mình biết nhé. thank you!,1,1,0,0
"sản phẩm rất tệ , bị nhỏ nước không ủi được",1,0,0,0
mới nhận nên chưa sử dụng như nào nhưng bấm khởi động máy thì nó kêu như xe tăng luôn í,1,0,0,0
"phải nói là sài cực tệ, ủi không thẳng",1,0,0,0
xài 2 lần là bị lỗi không hoạt động. chưa có thời gian gửi bảo hành,1,1,0,0
máy không sử dụng được thì liên hệ thế nào,1,1,0,0
"bàn ủi ra rất nhiều hơi, nước, ướt hết đồ nhưng mặt bàn là không nóng. không sử dụng được",1,0,0,0
sản phẩm vừa mua về sử dụng lần đầu đã bị chảy nước ra ở vòi phun hơi nóng. đề nghị xem xét đổi sản phẩm,1,1,0,0
bàn ủi phun nước như bình tưới cây chứ không phải hơi nước.,1,0,0,0
"hơi nước không được mạnh lắm, ủi 2 cái áo là hết nước",1,0,0,0
"bàn ủi phun hơi không đều, thậm chí có lúc không phun, tôi muốn liên hệ đổi máy khác. vui lòng phản hồi giúp!",1,1,0,0
: xài tới lần thứ 2 không ra hơi nước nữa,1,0,0,0
"ủi được 4 cái áo, không nên dùng . giờ nó không hoạt động rồi",1,0,0,0
"hay bị chảy nước, ủi không thẳng nhiều. cửa sản phẩm xem nguyên nhân để tư vấn khắc phục",1,1,0,0
"mình mua cho mẹ. mẹ cầm bảo nặng tay, ủi không được thẳng lắm",1,0,0,0
xài xíu xịt không ra hơi nữa,1,0,0,0
"sản phẩm dùng 1 lần, qua lần 2 nước chảy như tưới cây.",1,0,0,0
"mình không nhận được kèm quà, đã mấy lần mua của lock lock để hình có quà nhưng chưa bao h nhận được cả",1,0,1,0
mua ngày 12/12 trên app để quà tặng nhưng khi nhận sản phẩm không thấy gì.sản phẩm chưa dùng thử nên chưa đánh giá,1,0,1,0
sài bị rĩ nước và không chạy được nữa,1,0,0,0
máy xay kém pin bị hỏng không sử dụng được,1,0,0,0
sản phẩm bị lỗi muốn đổi sản phẩm thì làm thế nào ?,1,1,0,0
"vừa mua về rớt ốc vít ra. mình có phản hồi tiki. nhưng chỉ rớt ốc mình gắn lại thử và nấu thì vẫn nấu được. nhưng ốc gắn vô xong lại rớt đâu mất tiêu mình không tìm lại được ốc nên không nhờ hỗ trợ đổi được. nhưng tiki có hỗ trợ bảo hành thì vui lòng xử lý giúp. mình coi mấy bình luận 1,2 sao có hình ngta chụp đưa lên nhưng khi nhấp vô thì ra hình khác, hk hiểu được.",1,1,0,0
rất thất vọng với sản phẩm hoá đã nhận 1. sản phẩm nhân bị móp cái nấp nồi 2. sản phẩm giao không bao gồm quà tặng hộp thuỷ tinh như giới thiệu đề nghị cửa sản phẩm đổi sản phẩm khác mới và đúng chương trình khuyến mãi,1,1,1,0
"mình thử 2 lần, lần lượt 2 nồi để đun nước nấu mì, nồi 1 dùng nước lavie 19l, nồi 2 dùng nước của nhà nước, kết quả đều bị cùng 1 tình trạng, đang chờ bên nhà bán hỗ trợ giải quyết.",1,1,0,0
