id,title,content,rating
,Rất không hài lòng,Tiki xử lý đơn hàng khá lâu. Giao dự kiến là ngày 14-2 mà trể đến 17 -2 mới giao. Khách hàng điện tổng đài hôia thúc mới giao . Điện tổng đài lúc nào củng ghi nhận xử lý. Không trách nhiệm đơn hàng ở trung tâm trung chuyển củ chi tận mà ngày khách hàng điện thoại khiếu nại 5lần 7 lượt mới giao được đơn hàng. Giống như khách hàng mua hàng mà phải đòi hàng như ăn xin hàng của tiki vậy ! Thiếu trách nhiệm trong xử lý đơn hàng giao trể. Không 1 nhân viên nào là thông báo đơn hàng có thể trể mấy ngày. Để khách hàng điện lên mới nói. Trong khi điện lên 1phút tốn 1000đồng. Tiki riết mất uy tín. Thiếu kinh nghiệm trầm trọng !!!,1
,Rất không hài lòng,Co giao hàng đâu mà thấy giao thành công,1
,Rất không hài lòng,Tiki xử lý đơn hàng khá lâu. Giao dự kiến là ngày 14-2 mà trể đến 17 -2 mới giao. Khách hàng điện tổng đài hôia thúc mới giao . Điện tổng đài lúc nào củng ghi nhận xử lý. Không trách nhiệm đơn hàng ở trung tâm trung chuyển củ chi tận mà ngày khách hàng điện thoại khiếu nại 5lần 7 lượt mới giao được đơn hàng. Giống như khách hàng mua hàng mà phải đòi hàng như ăn xin hàng của tiki vậy ! Thiếu trách nhiệm trong xử lý đơn hàng giao trể. Không 1 nhân viên nào là thông báo đơn hàng có thể trể mấy ngày. Để khách hàng điện lên mới nói. Trong khi điện lên 1phút tốn 1000đồng. Tiki riết mất uy tín. Thiếu kinh nghiệm trầm trọng !!!,1
,Rất không hài lòng,Co giao hàng đâu mà thấy giao thành công,1
,Rất không hài lòng,"Giao mẫu dày, bé rất khó chịu khi sử dụng, sai mẫu",1
,Rất không hài lòng,"Giao mẫu dày không giống mỗi khi mua, đã 2 lần mất niềm tin, không chơi nữa",1
,Không hài lòng,"Sao đợt này tả dày quá, làm hoang mang",2
,Không hài lòng,"Giao hàng sữa thì mop, được cái nồi quà tặng, bể cái lồng ở trong, nấu sao. Giao hàng quá tệ",2
,Không hài lòng,"Giao hàng sữa thì mop, được cái nồi quà tặng, bể cái lồng ở trong, nấu sao. Giao hàng quá tệ",2
,Rất không hài lòng,"Ghi mua 3 tặng nồi rõ to, xong bên dưới chơi trò ghi chữ nhỏ xíu sl có hạn mới nhận đc, nhận hàng rồi mới vào xem kỹ mới biết, xin lỗi bán hàng mà chơi vậy rất *** nha.Hết thì xoá nó đi nha. Kiểu mổ gà lấy trứng ntn  ko lâu đâu. Lỗi do tôi, thôi chắc xoá aap",1
,Rất không hài lòng,"Ghi mua 3 tặng nồi rõ to, xong bên dưới chơi trò ghi chữ nhỏ xíu sl có hạn mới nhận đc, nhận hàng rồi mới vào xem kỹ mới biết, xin lỗi bán hàng mà chơi vậy rất *** nha.Hết thì xoá nó đi nha. Kiểu mổ gà lấy trứng ntn  ko lâu đâu. Lỗi do tôi, thôi chắc xoá aap",1
,Rất không hài lòng,"Hình ảnh đăng bán 1 vị, thêm giỏ hàng 1 vị.
Chán luôn",1
,Bình thường,,3
,Không hài lòng,"nó nhỏ hơn cái cùng size đang xài ,bé mặc vào bị chật",2
,Không hài lòng,"nó nhỏ hơn cái cùng size đang xài ,bé mặc vào bị chật",2
,Bình thường,"Đơn hàng giao trễ vì Shipper báo chỉ có mỗi đơn mình và xa quá nên hẹn lại, tuy mình đồng ý nhưng vẫn ảnh hưởng đến kế hoạch sử dụng sản phẩm đang cần gấp của mình! Đề nghị lần sau giao đúng như tiến độ cam kết.",3
,Không hài lòng,KHUI *** SỮA RA BỊ MÓP MÉO TÙM LUM.KHÔNG CHẤP NHẬN ĐƯỢC,2
,Rất không hài lòng,"Dạo này đóng gói sơ xài, tôi mua 4 hộp, 3 hộp bị móp, không đậy nắp được. Tôi lỡ khui hộp mới phát hiện móp",1
,Bình thường,Shop giao hàng móp sẵn chứ không phải do vận chuyển.,3
,Bình thường,"Đơn hàng giao trễ vì Shipper báo chỉ có mỗi đơn mình và xa quá nên hẹn lại, tuy mình đồng ý nhưng vẫn ảnh hưởng đến kế hoạch sử dụng sản phẩm đang cần gấp của mình! Đề nghị lần sau giao đúng như tiến độ cam kết.",3
,Không hài lòng,KHUI *** SỮA RA BỊ MÓP MÉO TÙM LUM.KHÔNG CHẤP NHẬN ĐƯỢC,2
,Rất không hài lòng,"Dạo này đóng gói sơ xài, tôi mua 4 hộp, 3 hộp bị móp, không đậy nắp được. Tôi lỡ khui hộp mới phát hiện móp",1
,Bình thường,Shop giao hàng móp sẵn chứ không phải do vận chuyển.,3
,Bình thường,"Hộp bị móp nên hơi thất vọng. Lần đầu mình mua thì ok, rất tiếc cho lần này",3
,Rất không hài lòng,"ko gọi mà nhá máy, gọi lại thì thái độ ko tốt",1
,Bình thường,Con mình không hợp tác với sữa này hu hu,3
,Rất không hài lòng,"Shop đóng gói hàng cực tệ, nhận hàng lần nào cũng móp méo",1
,Rất không hài lòng,sao không có tem phụ từ công ty nào nhập khẩu mà chỉ có 1 tem nhỏ như thế liệu có phải hàng fake,1
,Rất không hài lòng,sao không có tem phụ từ công ty nào nhập khẩu mà chỉ có 1 tem nhỏ như thế liệu có phải hàng fake,1
,Bình thường,Hộp bị móp với cái chỗ mở lắp bị bung mà vẫn gửi cho khách,3
,Bình thường,Hộp bị móp với cái chỗ mở lắp bị bung mà vẫn gửi cho khách,3
,Rất không hài lòng,Tiki xử lý đơn hàng khá lâu. Giao dự kiến là ngày 14-2 mà trể đến 17 -2 mới giao. Khách hàng điện tổng đài hôia thúc mới giao . Điện tổng đài lúc nào củng ghi nhận xử lý. Không trách nhiệm đơn hàng ở trung tâm trung chuyển củ chi tận mà ngày khách hàng điện thoại khiếu nại 5lần 7 lượt mới giao được đơn hàng. Giống như khách hàng mua hàng mà phải đòi hàng như ăn xin hàng của tiki vậy ! Thiếu trách nhiệm trong xử lý đơn hàng giao trể. Không 1 nhân viên nào là thông báo đơn hàng có thể trể mấy ngày. Để khách hàng điện lên mới nói. Trong khi điện lên 1phút tốn 1000đồng. Tiki riết mất uy tín. Thiếu kinh nghiệm trầm trọng !!!,1
,Rất không hài lòng,Co giao hàng đâu mà thấy giao thành công,1
,Rất không hài lòng,Tiki xử lý đơn hàng khá lâu. Giao dự kiến là ngày 14-2 mà trể đến 17 -2 mới giao. Khách hàng điện tổng đài hôia thúc mới giao . Điện tổng đài lúc nào củng ghi nhận xử lý. Không trách nhiệm đơn hàng ở trung tâm trung chuyển củ chi tận mà ngày khách hàng điện thoại khiếu nại 5lần 7 lượt mới giao được đơn hàng. Giống như khách hàng mua hàng mà phải đòi hàng như ăn xin hàng của tiki vậy ! Thiếu trách nhiệm trong xử lý đơn hàng giao trể. Không 1 nhân viên nào là thông báo đơn hàng có thể trể mấy ngày. Để khách hàng điện lên mới nói. Trong khi điện lên 1phút tốn 1000đồng. Tiki riết mất uy tín. Thiếu kinh nghiệm trầm trọng !!!,1
,Rất không hài lòng,Co giao hàng đâu mà thấy giao thành công,1
,Rất không hài lòng,"Giao mẫu dày, bé rất khó chịu khi sử dụng, sai mẫu",1
,Rất không hài lòng,"Giao mẫu dày không giống mỗi khi mua, đã 2 lần mất niềm tin, không chơi nữa",1
,Không hài lòng,"Sao đợt này tả dày quá, làm hoang mang",2
,Rất không hài lòng,Sữa bị móp méo mà vẫn gửi kh,1
,Rất không hài lòng,Sữa bị móp méo mà vẫn gửi kh,1
,Bình thường,Sao ko thấy phần khuyến mãi như hình nhỉ ?,3
,Rất không hài lòng,"Giao hàng quá chậm, bình thường mình đặt khuya hôm nay là chiều giao vậy mà đợt này mình đặt khuya 3/3 mà 4 ngày sau mới giao",1
,Bình thường,Sao ko thấy phần khuyến mãi như hình nhỉ ?,3
,Rất không hài lòng,"Giao hàng quá chậm, bình thường mình đặt khuya hôm nay là chiều giao vậy mà đợt này mình đặt khuya 3/3 mà 4 ngày sau mới giao",1
,Không hài lòng,Sản phẩm mỏng và thấm hút không tốt bằng mẫu cũ.,2
,Không hài lòng,Sản phẩm mỏng và thấm hút không tốt bằng mẫu cũ.,2
,Rất không hài lòng,"Mua combo 12 gói, Tiki Trading giao đúng 1 gói. Shipper của Tiki không chịu nhận lại hàng, bảo gọi tổng đài để được hỗ trợ. Tổng đài gọi và email mấy lượt, cung cấp đầy đủ hình ảnh video, cũng không giải quyết mà mỗi lần gọi là bảo đợi 48 giờ từ cuộc gọi mới nhất. Thời này thời nào mà làm ăn chán không chịu được, hèn gì bạn bè chuyển sang dùng nền tảng khác hết. Sẽ không bao giờ mua hàng Tiki nửa.",1
,Rất không hài lòng,"Mô tả không đúng, giao sai. Combo 12 gói 1 kiện, giao thực tế 1 gói. Sau 3 ngày vẫn chưa giao bù.",1
,Rất không hài lòng,"Mình mua đơn hàng 4 combo ( 1 combo 12 gói ) mua 4 combo thanh toán 1,356,000 mà sao mình nhận chỉ có 1 thùng và 4 gói như vầy 
- kiểm tra và trả lời mình gấp",1
,Rất không hài lòng,dat hoa toc giao sai ngày ko đúng cam kết,1
