content,Quality,Service,Shipping,Packing
"nước sơn đẹp, khá chắc chắn, dễ lắp đặt, trải nghiệm sơ bộ thấy tốt, hơi rung 74kg giao sản phẩm rất tệ, đặt 12 đến 27 mới giao, nhân viên giao sản phẩm gọi điện báo giao chậm cho khách 2 3 lần, nhưng tự cập nhật trên hệ thống giao sản phẩm không thành công, đổ lỗi cho khách sản phẩm, hẹn giao cho khách, trễ hơn 2h khách gọi hỏi lúc nào giao thì không trả lời rồi cúp máy",0,0,1,0
"may không có sách hướng dẫn lắp ráp, không có hướng dẫn sử dụng ….",1,0,0,0
túi không đựng được điện thoại,1,0,0,0
"người bán coi thường khách sản phẩm, giao 2 lần liên tiếp đều sai. mua 25” giao 28”. chat trước khi mua lại. sau đó mua lại 25”, tiếp tục giao 28”.",0,1,0,0
"mua 2 cái, 1 cái dùng tốt, 1 cái con trai bóp 1 cái gẫy làm 2 luôn. giao sản phẩm nhanh, bao gói cẩn thận.",1,0,0,0
sản phẩm không đúng như mô tả,1,0,0,0
không trả lời tin nhắn của khách sản phẩm dù đã nhắn rất nhiều lần. không biết có lỗi hệ thống hay gì ko.,0,1,0,0
"chất lượng tốt, chất lượng tốt, giao sản phẩm nhanh. tuy nhiên cửa sản phẩm có hơi nhầm là giao hai cái cùng 1 bên.",0,1,0,0
"mùi hoá chất cực kỳ hôi, đã giặt 3 lần vẫn chưa hết mùi.",1,0,0,0
"treo người lên khá là đau giữa 2 bên nách do bị tì đè nặng nhưng miếng đệm không đủ êm, thanh treo khó cố định trên tường",1,0,0,0
ai chưa dùng không nên mua mang vào chừng 5p là không thở nổi,1,0,0,0
"khi treo lên rất là đau hai bên nách, lớp đệm 2 bên quá mòng. các khóa không chắc chắn treo người lên là tụt dây",1,0,0,0
"gây đau nách, không đu được lâu.",1,0,0,0
không sử dụng được nó không bám được vào eo nhưng nó tuột luốt hà.,1,0,0,0
"các dây đeo may quá mỏng mảnh, và chiều cao đai quấn thấp khó chịu được sức nặng trên 60kg",1,0,0,0
không dùng hiệu quả đau tay,1,0,0,0
