content,Quality,Service,Shipping,Packing
giá quá cao. cuốn sách mỏng và nội dung ít. giá tầm dưới 100k thì hợp lý.,1,0,0,0
"cuốn sách có khá nhiều số liệu, phân tích, tuy nhiên nguồn gốc của số liệu đó không rõ ràng, không tạo cảm giác tin tưởng cho người đọc có khá nhiều chỗ viết lòng vòng, tốn thời gian đọc, nhưng nội dung có ý nghĩa lại rất ít. một số chỗ nhưng đưa ra nội dung chưa phù hợp, ví dụ bảng số liệu đưa ra 1 số, nhưng phân tích thì đưa ra 1 số khác không có trong bảng số liệu. trang 164,167 hơi bùn vì tựa đề hay nhưng nội dung hơi nghèo.",1,0,0,0
cảm giác sách bị cũ như đã từng dùng rồi. nội dung thì hay,1,0,0,0
nội dung sách khg hay như được quảng cáo,1,0,0,0
không hay bình thường không đáng xem,1,0,0,0
nội dung sách không phù hợp với tiêu đề sách,1,0,0,0
"đúng như tên sách ""dành cho người mới bắt đầu"", nhưng mình đánh giá sách phù hợp với trẻ mẫu giáo và cấp 1 hơn các đối tượng khác. ưu điểm là sách nhiều hình ảnh sinh động, chữ to rõ ràng. tuy nhiên lượng kiến thức và mức độ chuẩn chưa sâu và chưa hệ thống hóa lại. bởi vậy các bạn cấp 2 hay những người lớn hơn học thì hơi quá đơn giản và giá cao so với giá trị mang lại.",1,0,0,0
"sách mới nhưng không được bọc giấy kiếng, mất giá trị của sách, thiếu tôn trọng khách sản phẩm. chán",0,0,0,1
"sách bị sứt phần gáy! nhưng nội dung sách thì hay lắm, đáng để đọc để hiểu mình hiểu người!",0,0,0,1
tác giả là 1 fallen guru!,1,0,0,0
"đừng mơ t đặt lần nữa,sản phẩm dell bọc dell ấy gì hết,nhăn nhúm hết cả",0,0,0,1
"sách viết lan man không vào trọng tâm, đọc diễn đạt quá dài dòng mất thời gian, không đúng tỉnh thần ielts. các bạn nên mua các đầu sách uy tín như cambrige học sẽ hệ thống đúng vấn đề hơn.",1,0,0,0
bản dịch hơi khô khan. nhiều câu dùng từ ngữ không có sự liên kết vs nhau. đọc xong cảm thấy khá rối,1,0,0,0
"sách dở, dài dòng lan man. kể tên đủ loại nhân vật đủ câu chuyện không nhớ không đọng được gì sau khi đọc sách. lâu lâu thấy 1 quyển dở tệ đến nỗi phải lên đánh giá.",1,0,0,0
"nội dung rời rạc, thất vọng",1,0,0,0
"ngôn ngữ dịch hơi rối dài dòng nhiều chữ nhưng ít ý, đọc mấy trang nhưng đúc kết được có rất ít ý chính thôi",1,0,0,0
sách dịch chán dã man. lủng cà lủng củng. hời hợt cẩu thả. cứ như google translate. nói chung không nên mua,1,0,0,0
bản dịch cực kỳ khó hiểu. mình là người nói và đọc tiếng anh trôi chảy nhưng cũng rất khó hình dung ra nội dung nhưng người việt truyền tải đã được dịch sang tiếng việt,1,0,0,0
"sách không mới lắm , nội dung thì không giống mình mong đợi",1,0,0,0
"câu cú lủng củng, dịch như google dịch, quá thất vọng",1,0,0,0
nội dung rất hay nhưng người dịch lại dở quá. cảm giác họ chỉ dùng google translate và không thèm xem lại câu văn như nào. nên mua cuốn gốc hoặc nên tái bản lần 2 ạ,1,0,0,0
"sách dịch ngôn từ khó hiểu , chắc đi bên dịch giả đọc không suôn câu ta nên khó hiểu ! đóng gói đẹp vận chuyển nhanh",1,0,0,0
"chưa đọc sách ,mới nhận sách ,có quyển sách nhưng muốn trả lại ,đã gửi cho tiki ,mầy ngày chưa thấy trả lời ,gọi điện mấy hôm rồi cũng không nghe máy ,cảm giác như đem con bỏ chợ ,web này bốc hơi luôn mọi người ạ ! mình rất bực mình ,dịch vụ không nổi một sao ,đến giờ cũng không ai thèm rep mình ,ai đặt sách ở đây cẩn thận ,đừng để phải trả lại nhé mọi người !",0,1,0,0
"sản phẩm đẹp, nhưng sai lầm là chọn tiki. tiki dạo này giáo sản phẩm 10 đơn như 1, đơn nào cũng trễ.",0,0,1,0
"không hiểu sao lần này tiki đóng gói rất ẩu, rất không hợp lí và rất không vừa ý. thay vì đóng gói bằng hộp dẹp khoảng 20x15x3 vừa với cuốn truyện thì tiki gói bằng hộp không vừa khoảng 20x10x10 , nên mở ra thì truyện bị cong. xin lỗi vì mình là người sưu tập truyện, rất cưng truyện nên phải khắc khe vấn đề này. mong tiki khắc phục tình trạng này.",0,0,0,1
"trước h mình đặt tiki đều thấy đóng cản thận. nhưng lần này mình đặt bộ 14 quyển thùng đựng thì rộng, truyện thì cứ thả vào nhưng hk chịu gói sắp xếp lại. đúng vào mùa mưa nữa chứ. thua đóng gói bên fahasha nhiều",0,0,0,1
"Buồn tiki làm ơn gói sản phẩm có chống sốc giùm e, please",0,0,0,1
"bọc sách như muốn tát vào mặt người mua, cẩu thả tận cùng",0,0,0,1
sách khi được nhận bị móp 2 góc sách,0,0,0,1
sản phẩm bọc khá sơ sài sách mới nhưng đã nhăn như vầy đây là trải nghiệm tệ với một người yêu sách như mình,0,0,0,1
"sách bị cong ở góc, nhưng lại đều tốt ạ, tiki xử lí trả sản phẩm đổi sản phẩm nhanh",0,0,0,1
