content,Quality,Service,Shipping,Packing
tiki xử lý đơn sản phẩm khá lâu. giao dự kiến là ngày 14-2 nhưng trể đến 17 -2 mới giao. khách sản phẩm điện tổng đài hôia thúc mới giao . điện tổng đài lúc nào củng ghi nhận xử lý. không trách nhiệm đơn sản phẩm ở trung tâm trung chuyển củ chi tận nhưng ngày khách sản phẩm điện thoại khiếu nại 5lần 7 lượt mới giao được đơn sản phẩm. giống như khách sản phẩm mua sản phẩm nhưng phải đòi sản phẩm như ăn xin sản phẩm của tiki vậy ! thiếu trách nhiệm trong xử lý đơn sản phẩm giao trể. không 1 nhân viên nào là thông báo đơn sản phẩm có thể trể mấy ngày. để khách sản phẩm điện lên mới nói. trong khi điện lên 1phút tốn 1000đồng. tiki riết mất uy tín. thiếu kinh nghiệm trầm trọng !,0,1,1,0
co giao sản phẩm đâu nhưng thấy giao thành công,0,0,1,0
"giao mẫu dày, bé rất khó chịu khi sử dụng, sai mẫu",1,0,0,0
"giao mẫu dày không giống mỗi khi mua, đã 2 lần mất niềm tin, không chơi nữa",1,0,0,0
"sao đợt này tả dày quá, làm hoang mang",1,0,0,0
"giao sản phẩm sữa thì mop, được cái nồi quà tặng, bể cái lồng ở trong, nấu sao. giao sản phẩm quá tệ",1,0,1,1
"ghi mua 3 tặng nồi rõ to, xong bên dưới chơi trò ghi chữ nhỏ xíu số lượng có hạn mới nhận được, nhận sản phẩm rồi mới vào xem kỹ mới biết, xin lỗi bán sản phẩm nhưng chơi vậy rất nha.hết thì xoá nó đi nha. kiểu mổ gà lấy trứng ntn không lâu đâu. lỗi do tôi, thôi chắc xoá aap",0,1,0,0
"hình ảnh đăng bán 1 vị, thêm giỏ sản phẩm 1 vị. chán luôn",0,1,0,0
"đơn sản phẩm giao trễ vì shipper báo chỉ có mỗi đơn mình và xa quá nên hẹn lại, tuy mình đồng ý nhưng vẫn ảnh hưởng đến kế hoạch sử dụng sản phẩm đang cần gấp của mình! đề nghị lần sau giao đúng như tiến độ cam kết.",0,0,1,0
khui sữa ra bị móp méo tùm lum.không chấp nhận được,0,0,0,1
"dạo này đóng gói sơ xài, tôi mua 4 hộp, 3 hộp bị móp, không đậy nắp được. tôi lỡ khui hộp mới phát hiện móp",0,0,0,1
cửa sản phẩm giao sản phẩm móp sẵn chứ không phải do vận chuyển.,0,0,0,1
"hộp bị móp nên hơi thất vọng. lần đầu mình mua thì tốt, rất tiếc cho lần này",0,0,0,1
"không gọi nhưng nhá máy, gọi lại thì thái độ kém",0,0,1,0
con mình không hợp tác với sữa này hu hu,1,0,0,0
"cửa sản phẩm đóng gói sản phẩm cực tệ, nhận sản phẩm lần nào cũng móp méo",0,0,0,1
sao không có tem phụ từ công ty nào nhập khẩu nhưng chỉ có 1 tem nhỏ như thế liệu có phải sản phẩm fake,1,0,0,0
hộp bị móp với cái chỗ mở lắp bị bung nhưng vẫn gửi cho khách,0,1,0,1
sữa bị móp méo nhưng vẫn gửi kh,0,1,0,1
sao không thấy phần khuyến mãi như hình nhỉ ?,0,1,0,0
"giao sản phẩm quá chậm, bình thường mình đặt khuya hôm nay là chiều giao vậy nhưng đợt này mình đặt khuya 3/3 nhưng 4 ngày sau mới giao",0,0,1,0
sản phẩm mỏng và thấm hút kém bằng mẫu cũ.,1,0,0,0
"mua combo 12 gói, tiki trading giao đúng 1 gói. shipper của tiki không chịu nhận lại sản phẩm, bảo gọi tổng đài để được hỗ trợ. tổng đài gọi và email mấy lượt, cung cấp đầy đủ hình ảnh video, cũng không giải quyết nhưng mỗi lần gọi là bảo đợi 48 giờ từ cuộc gọi mới nhất. thời này thời nào nhưng làm ăn chán không chịu được, hèn gì bạn bè chuyển sang dùng nền tảng khác hết. sẽ không bao giờ mua sản phẩm tiki nửa.",0,1,1,0
"mô tả không đúng, giao sai. combo 12 gói 1 kiện, giao thực tế 1 gói. sau 3 ngày vẫn chưa giao bù.",0,1,1,0
"mình mua đơn sản phẩm 4 combo 1 combo 12 gói mua 4 combo thanh toán 1,356,000 nhưng sao mình nhận chỉ có 1 thùng và 4 gói như vầy - kiểm tra và trả lời mình gấp",0,0,1,0
dat hoa toc giao sai ngày không đúng cam kết,0,0,1,0
tôi thanh toán mua combo 12 gói - chỉ giao 1 gói khăn giấy ướt. đề nghị đổi lại đúng sản phẩm tôi đã đặt.,0,0,1,0
"sản phẩm lỗi thuộc diện bị thu hồi. tiki không cho đổi trả sản phẩm hoàn tiền, không giải thích lí do",1,1,0,0
sữa méo mó.bật cả nắp hộp.không biết chất lượng sữa có bị ảnh hưởng gì không,0,0,0,1
đặt 3 hộp nhưng bị móp hết 2 hộp mặc dù mỗi hộp đều được bọc xốp và thùng khá chắc chắn. sữa cho trẻ sơ sinh nên mong nhà bán sản phẩm cẩn thận hơn!,0,0,0,1
"sữa thì tốt, date xa, không có gì phải bàn. mình cho 3 sao vì shipper của tiki quá tệ. mình cần kiểm sản phẩm, trên bill để được đồng kiểm nhưng khi tới mình y/c kiểm sản phẩm thì kêu sản phẩm tiki an toàn không cần kiểm bla bla. thái độ rất kì cục t mua sản phẩm ở concung nhưng nó nhưng cho kiểm chứ đừng nói tiki ?",1,0,1,0
"đóng gói rất là không thân thiện với môi trường luôn, có 1 hộp sữa nhưng đóng vào thùng quá lớn, làm kéo theo khá nhiều nilong để chống sốc, thật sự thêm rác thải cho môi trườg chứ không được gì. hy vọng tiki không xoá hay ẩn đánh giá này và cải thiện ở đơn sau. càng đóng gói thùng càng to.",0,0,0,1
"bữa giờ mua sản phẩm đóng gói rất kỹ nhưng cái này chắc móp trước khi đóng gói, móp gì móp 2 chỗ sâu vầy không biết có ảnh hưởng đến chất lượng hay không",0,0,0,1
"giao sản phẩm gì móp méo vậy, hộp méo nhiều hộp méo ít, nói chung hai hộp đều méo",0,0,0,1
sản phẩm nằm trong nhóm thu hồi nhưng không thấy tiki ý kiến xử lý như nào,1,1,0,0
"hộp ngoài thì nguyên vẹn, nhưng hộp sữa bên trong bị móp. móp sẵn nhưng vẫn đóng gói giao khách sản phẩm ? thật thất vọng",0,1,0,1
giao sản phẩm trễ lần nào cũng vậy,0,0,1,0
sữa có vị mặn bị hỏng tôi muốn hoàn trả liên hệ cho tôi,1,1,0,0
"giao sản phẩm ẩu, đóng gói sơ xài",0,0,1,1
không biết do bên cửa sản phẩm hay bên giao sản phẩm nhưng hộp bị méo,0,0,0,1
lần này mình đặt sản phẩm chậm hơn so với dự kiến,0,0,1,0
"tôi đề nghị tiki rà soát lại thái độ của shipper khu vực p14 quận 8. thái độ rất kém, không phải một lần nhưng rất nhiều lần.",0,0,1,0
sản phẩm bị móp méo hộp.han dùng,0,0,0,1
"mong bên nhà bán sản phẩm đóng sản phẩm có tâm xíu , sản phẩm nhận 10 đơn móp hết 9",0,0,0,1
"sau khi dùng sản phẩm, bé thường xuyên bị đầy hơi, nóng trong người, nấc cụt. ý kiến riêng của tôi: sản phẩm này không phù hợp với baby việt nam.",1,0,0,0
đóng gói cẩn thận nhưng hộp bị móp,0,0,0,1
có chống sốc nhưng vẫn bị móp sữa.,0,0,0,1
"nắp hộp quá lỏng lẻo, không chặt như hộp 850gram",1,0,0,0
"mình mua rất nhiều sữa nan ở đây, nhưng 3 lần hộp sữa bị móp, mép. nay mình mua 4 hộp má ơi 3 hộp móp rất nặng, móp nhưng không đóng hộp vô được. sữa nhưng hộp móp thì nhưng giá trị gì. phần đóng gói quá tệ nhé, sữa không đóng nắp được sao nhưng uống. không hiểu do khâu nào làm, đóng gói rất tốt. tiki đóng gói tệ.",0,0,0,1
mình đặt mua 5 . đóng gói rất sơ sài có tới 3 bị móp ngay miệng hở cả nắp gây khó khăn trong việc bảo quản. bình thường tiki đóng gói mình thấy rất chỉnh chu. lần này gây thất vọng quá.,0,0,0,1
hộp bị méo. cả 2 lần mua đều bị vậy. thêm lần đầu 1 hộp có hơi rỉ sét bên hông,1,0,0,1
giao sản phẩm gi nhưng hộp biến dạng móp méo tùm lum thật không biết có uy tín hay không nữa đây ?,0,0,0,1
tôi muốn trả sản phẩm vì ngay lô sản phẩm bị thu hồi của hãng,1,1,0,0
cửa sản phẩm dùm đổi lại sản phẩm nhe,0,1,0,0
