content,Quality,Service,Shipping,Packing
"điện thoại mới nhưng không có củ sạc , dây sạc 2 đầu như nhau chỉ cắm vào đt không có đầu cắm vào củ sạc ? giao sản phẩm chậm so với thông báo",0,0,0,0
"mới dùng nhưng đã chập trờn, lúc vào điện lúc không, rồi không sạc được nữa rồi",1,1,1,1
sản phẩm thì ngon nhưng nhưng shipper đến giao sản phẩm vẫn chưa nhận được mã otp.gọi tổng đài hoài hết tiền điện thoại luôn nhưng không nhận được lời xin lỗi.vừa mất thời gian a shipper và mình,1,1,1,1
"tiki dối khách sản phẩm, mua sản phẩm xong không hoàn astra",1,1,1,1
vừa mua xong cái tiki giảm giá,0,0,0,0
đánh giá không tính điểm giao sản phẩm quá chậm trễ. mình đi mua tặng người thân nhưng mãi mới nhận được sản phẩm. mua 20.5tr nhưng máy rất nhanh xuống pin. face id cũng kém hơn các dòng đời thấp hơn,1,1,1,1
đánh giá không tính điểm mua điện thoại nhưng nhìn cái hộp chán thế này. chả hiểu tiki làm ăn kiểu gì. thậm chí hộp bên trong nhưng không lót đệm,1,1,1,1
"đánh giá không tính điểm sau nhiều lần gọi đến tổng đài yêu cầu giao sản phẩm, cuối cùng cũng điều người giao sản phẩm trong đêm, chất lượng tốt nhưng giao sản phẩm tệ.",0,0,0,0
mua được 10 tháng ạ. em gọi hỗ trợ theo hl nhưng không được. vẫn nhưng bảo sản phẩm ạ,0,0,0,0
"tiki giao sản phẩm trước dự kiến, tuy nhiên đóng gói chất lượng kém đối với sản phẩm giá cao tiền. chỉ có 2 miếng giấy lót trên dưới rất ẩu, nhưng không có xốp cố định sản phẩm để tránh va đập. nilon bọc ngoài điện thoại cũng không phải là loại nilon hạn chế va đập, bọc vô cùng sơ sài. nói chung khá thất vọng về cách đóng gói sản phẩm có giá trị như vậy của tiki.",0,0,0,0
"sản phẩm mua bị lỗi reset counter và panic full sau 3 ngày dùng. gọi lên tiki để đổi trả thì bị bên ghn không chấp nhận thu hồi sản phẩm, tiki làm việc lại với bên ghn 7 ngày thì cũng chả được rồi phải làm khách sản phẩm đợi thêm 7 ngày nữa để làm việc lại với bên vận chuyển khác. tới lúc thu hồi được sản phẩm thì báo đổi mới nhưng do hết sản phẩm nên muốn hoàn tiền cho mình nhưng mình không chịu, nhưng trong khi mình lên tiki xem thì thấy vẫn nhưng sản phẩm? rồi phải gọi lần nữa thì mới chịu đổi cho cái mới. chung quy lại hậu mãi tiki quá thất vọng, chỉ vì lỗ hổng bộ phận nhưng làm ảnh hưởng khách sản phẩm quá nhiều và cũng chẳng có hướng xử lý nào cụ thể cả. như kiểu không muốn đổi cho không vậy. quá thất vọng!",1,1,1,1
"sản phẩm không nhưng nguyên seal bộc ni lông. là như thế nào vậy, giải thích hộ vì không chat cho tikitrading được. vô cùng khó chịu với cách giao sản phẩm, đối tác best express nguyên 1 đống sản phẩm dễ vỡ ngỗn ngang trong thùng và nhân viên đi giao nhưng không biết mình được đi giao sản phẩm giá trị lớn và bối rối khi biết có ip13 trong thùng sản phẩm. giao sản phẩm trễ 2 ngày. thất vọng về tiki, từ đợt 11.11 thì giao sản phẩm trễ 1 tháng. tạm ổn tốt biệt tiki",1,1,1,1
"mới mở hộp màu hồng check cổng sạc thấy bị trầy như vầy, hơi thất vọng không bằng iphone 11 mình mua năm trước không bị trầy gì hết",0,0,0,0
"săn sale black friday nên mua được giá hợp lý, tiki now nên giao sản phẩm rất nhanh, tầm 1 giờ hơn là nhận được sản phẩm…vì mua sản phẩm online có giá trị tiền cao nên cũng hơi lo nhưng tiki bảo mật trong khâu vận chuyển khá tốt. nhưng sản phẩm đang dùng nên chưa có đánh giá được, nói chung hiện tại dùng tốt…sản phẩm chính hãng.",0,0,0,0
shipper giao sản phẩm không gọi trực tiếp cho người nhận - tự ý giao cho người nhà. quá đáng chê trách.,1,1,1,1
"máy đang dùng tốt. nhưng dịch vụ giao sản phẩm tiki nay không nhưng tốt như trước, làm khách rất không an tâm. sản phẩm xác nhận giao trước 11h. 10h47 shipper gọi báo có đơn sản phẩm tiki giao tại địa chỉ của mình đọc rất rõ ràng địa chỉ rồi kêu mình đọc otp để nhận sản phẩm. mình không đồng ý và yêu cầu sẽ đọc mã sau khi mình xuống nhận và kiểm tra niêm phong sản phẩm đầy đủ, thì shipper báo vậy đến trễ 30p, vô lý quá sức, trường hợp trễ thì ngay từ đầu xin lỗi và báo khach là sẽ đến trễ sao lại yêu cầu đọc mã otp trước. cuối cùng là trễ gần 1 tiếng mới tới giao. mình có gọi phản ánh ngay với chăm sóc khách sản phẩm. viết lên để mọi người cẩn thận với những trường hợp gọi kêu đọc mã otp trước, đọc xong xem như đã nhận sản phẩm, giả sử phát sinh trường hợp xấu thì do khách tiết lộ mã otp.",1,1,1,1
"dịch vụ kém, giao sản phẩm chậm hơn 1 tuần nhưng không được thông báo rõ ràng. sản phẩm mua gần 25tr nhưng giống sản phẩm chợ 25k, nhìn cách đóng gói và vận chuyển ra thùng sản phẩm bung bét thế kia là hiểu cách làm ăn ra sao. sẽ không mua lại lần 2!",1,1,1,1
"mình mua ngày 15/2/2022. lần đầu mình mua iphone trên tiki. đóng gói cẩn thận, phụ kiện đầy đủ, giao sản phẩm nhanh. nhưng màn hình bị ám vàng. mọi người mua nên kiểm tra kỹ. rất mong tiki giúp đỡ.",1,1,1,1
