content,Quality,Service,Shipping,Packing
dây đeo không chắc dễ bị đứt dây,1,0,0,0
mình nhận sản phẩm sao không có gift tẩy trang,0,1,0,0
"tiki bán ghi là mua dầu gội tặng dầu xả nên mình nghĩ là giá này thì mua được 1 cặp. mình quên đọc kỹ thông rin và kiểm tra sản phẩm tặng trong giỏ sản phẩm trước khi đặt sản phẩm, giao sản phẩm đến chỉ thấy có dầu gội, bạn chăm sóc khách sản phẩm bảo do hết quà tặng, dặn lần sau nhớ kiểm tra kỹ trước khi đặt sản phẩm. tốt lỗi của mình xớn xác nhưng nhận sản phẩm không vui nhưng không muốn ảnh hưởng đến bạn giao sản phẩm nên mình không trả sản phẩm. mình đánh giá 1 vì không vui, đặt mua 2 món nhận được chỉ 1 món.",0,1,0,0
"tẩy không sạch, mùi không được tốt, dễ văn tùm lum",1,0,0,0
trên hình ảnh có tặng thêm 1 hủ lúc giao sản phẩm thì không có tặng treo đầu dê bán thịt,0,1,0,0
sản phẩm bình thường xả không mướt tóc như những loại khác của dove nhưng mình đã dùng,1,0,0,0
tiki ơi đây có phải sản phẩm giả không vậy? không thể gắn vào bàn chải được nghen,1,0,0,0
"gửi nhầm sản phẩm ,mình đặt locknlock nhưng gửi lock lock",0,1,0,0
không hài lòng về sản phẩm bất tiện,1,0,0,0
"đặt mua bàn chải, nhưng giao đầu bàn chải, đề nghị đổi lại dùm",0,1,0,0
"dùng tạm ổn tốt,lắp vào bản chải cùng hãng cũng không khớp lắm.",1,0,0,0
không vừa với thân bàn chải điện,1,0,0,0
"sản phẩm như sản phẩm dùng rồi, quá tệ",1,0,0,0
không có quà tặng kèm như quảng cáo,0,1,0,0
"lọ này đã hết hạn từ ngày 17/2/2022 vậy nhưng vẫn bán , thật tức giận",1,0,0,0
cửa sản phẩm để đơn 150k sẽ tặng gấu bông chuyên gia nhưng nhận sản phẩm không có quà,0,1,0,0
lúc mua thấy có quà tặng nhưng lúc nhận không có quà tặng,0,1,0,0
"mình đặt sản phẩm lúc tối 03/07 và đã chọn giao sản phẩm trước 12g trưa 04/7, do đặt dùm bạn. đến tận chiều tối hôm nay là 3 ngày mới giao cho bạn mình. mình chọn giao nhanh với phí giao sản phẩm giá cao và đã thanh toán hết rồi chứ không thôi đã hủy đơn. cùng ở tp.hcm nhưng chẳng hiểu sao lại giao lâu thế. thất vọng thật sự.",0,0,1,0
không rửa sạch bụi bẩn gì cả,1,0,0,0
mẫu mã khác với trên hình. nhưng hình như hết hạn rồi hay sao á,1,0,0,0
"nha mọi ng,nhìn ngoại quan là biết sản phẩm nhà làm. đổi trả tiki khó lắm mọi ng ơi",0,1,0,0
sản phẩm không nguyên tem. hộp đã bị bóc,0,0,0,1
"không có quà tặng, rất thất vọng",0,1,0,0
"đã nhận sản phẩm, nhưng không có tem dán bảo vệ hộp kem sản phẩm. nhờ cửa sản phẩm xem lại sản phẩm kem đã bị vơi đi .",0,0,0,1
"sản phẩm của tiki trading thì mình luôn tin tưởng. nhưng không hài lòng nhân viên giao sản phẩm, quên gói sản phẩm của mình, hứa hẹn hôm sau giao lại cuối cùng lại để quá hạn rồi tự trả sản phẩm",0,1,0,0
"kem thoa cứ rít,không mềm mại,nên thoa lên không massa mặt được.nhanh thấm nhanh khô.",1,0,0,0
"giao sản phẩm quá tệ, có ghi hành dễ vỡ mak vẫn vậy",1,0,0,0
"trong quảng cáo ghi là tặng kèm chiếc túi vải,cuối cùng chỉ có trơ trọi hộp kem thôi!thất vọng rồi nhen tiki!",0,0,0,1
mình dùng đến ngày thứ 2 da ngứa và bong tróc.nổi đốm quanh vùng miệng,1,0,0,0
"đầu tiên về phần vỏ rất chắc chắn không thể trừ điểm được. nhưng điều mình quan tâm nhất về chất lượng thì em này làm mình không hài lòng. mùi rất kì, mình ngửi như mùi đất sét. bôi nhiều lớp lên sẽ ra màu hồng cánh sen rất dìm nếu không tẩy da chết . chất son giống son gió nhưng chậm hơn.để tầm 1-2h môi bắt đầu hồng choét lên trông rất sợ. hình ảnh dưới đây là môi mình sau khi tẩy da chết và bôi lớp mỏng lên trông không quá đáng sợ nhưng 1 tgian sau lên màu không được đẹp nếu như muốn mua thì bạn chỉ nên bôi ở nhà nếu không sẽ không kiểm soát được màu son. son này rất lì luôn ấy. trời càng lạnh nó lên màu càng nhanh. màu mình mua là cam san hô. hi vọng nếu như cải thiện màu son này nhà sản xuất sẽ cho thêm nhiều đỏ hơn là hồng",1,0,0,0
sản phẩm son hơi bị rích khi sơn môi.khó sử dụng màu son không giống như miêu tả trên hình,1,0,0,0
không hiệu quả lắm. mụn thâm vẫn nhiều dù xải thêm gel trị mụn,1,0,0,0
"sản phẩm đi quá chậm, tiki nên coi lại cách vận chuyển đơn",0,0,1,0
tiki bị bên shipper làm mất uy tín. tôi chưa nhận được sản phẩm nhưng tiki đã xác nhận là đã xác nhận giao sản phẩm mã 647589123. tôi chờ mãi nhưng cái tay shipper số điện thoại cho tôi chờ mỏi luôn,0,0,1,0
"tạm ổn tốt được à, sản phẩm dùng có mùi nồng nhưng với mức giá này như v là 1 chất lượng tốt r",1,0,0,0
đánh giá không tính điểm không có túi quà tặng khi mua 2 sản phẩm,0,1,0,0
