content,Quality,Service,Shipping,Packing
"tối wa mới nhận được sản phẩm đổi, thấy bp hậu mãi đổi trả tương đối nhanh, tính sáng nay lên web cho 4 sao, nhưng thật đáng tiếc là khi tôi test thử thì nhiệt vẫn tỏa ra trên phần nắp bình , thật là thất vọng, không đổi nauwx, tôi yêu cầu trả sản phẩm hoàn tiền",1,1,1,1
"sau thời gian trải nghiệm dùng bình này thì mình nhận thấy sản phẩm rất rất tệ luôn. mình dùng qua thử vài loại nhưng mình chưa thấy loại bình giữ nhiệt nào nhưng kém như loại này, bình giữ nhiệt thời gian kém đã đành, nhưng lại nhưng xì rỉ nước lúc mỗi khi bình ở tư thế nghiêng hoặc nằm. lời khuyên chân thành cho bạn nào có ý định mua loại này thì sáng suốt đừng nên mua dùng.",1,1,1,1
"sản phẩm giao bị trầy xước, không rõ phải sản phẩm mới không hay đã sử dụng.",0,0,0,0
"nhận sản phẩm từ chiều tối ngày 29/12 đến hôm nay 31/12 mới mở ra xem. + về ngoại hình sản phẩm khi nhận: - vỏ hộp nhăn nheo, nắp hộp bị rách do bóc quá nhiều. - nắp bình mở ra có vết xước ở phần nhựa của nắp. => chắc chắn sản phẩm cũ => mình có cảm giác như tiki ngày càng giao sản phẩm tồn kho cho khách, ai lại mua sản phẩm nhưng muốn phải nhận được sản phẩm cũ :",1,1,1,1
"cái màu xấu vô cùng, quai đứt. khả năng giữ nhiệt tốt, nhưng bình cần để qua đêm là bị hôi dù chỉ để nước lọc. không rõ có chắc sản phẩm chính hãng hay ko? nhưng lock lock sẽ không bị vậy. hơn 300k cho bình giữ nhiệt này, mua về cảm thấy hơi hoài nghi.",1,1,1,1
sản phẩm giao bị móp. yêu cầu đổi trả sản phẩm 2 lần vẫn không được. shiper không thèm đến lấy sản phẩm. muốn tự mang sản phẩm đến bưu cục thì bảo chưa hỗ trợ. gọi điện lên chăm sóc khách sản phẩm cũng không giúp gì hơn được. quá thất vọng và sẽ không bao giờ mua sản phẩm nữa.,1,1,1,1
sản phẩm về ngâm tại bưu cục! đã trễ nhưng nhưng bị ngâm thêm 7 ngày! mình phải tới bưu cục lấy! thì thấy quản lý sản phẩm hoá quăng tùm lum! có trày sướt! chất lượng đóng gói tệ! chưa trải nghiệm sản phẩm!,0,0,0,0
"sản phẩm không có tem mác gì, bên ngoài bẩn, nắp mở rất khó, xoay mở nắp thì bung luôn cả phần cấu tạo của nắp. không hài lòng sản phẩm so với tiền của sản phẩm.",1,1,1,1
"mình mua ngay trước tết, dùng được đúng vài ngày thì đến mùng 2 thấy bị sút nắp như thế này ảnh kèm . tự nó bung ra, không hề va đập hay rơi vỡ, bình nguyên vẹn không có 1 vết xước nào. rất thất vọng, nếu đây thực sự là sản phẩm chính hãng thì tiki cần có giải thích và đổi trả/bồi hoàn cho mình! thanks!",1,1,1,1
"từ lúc mua bình tháng 3/2021 đến lúc mình sử dụng bình tháng 1/2022 , mình để bình trong hộc tủ công ty và vì lockdown cũng như mình về quê. tới lúc cầm nó lên tay rồi và sử dụng thì rất bực mình. cafe đá mình cho vô tầm 2 tiếng đồng hồ là nó tan hết đá, cũng như xuất hiện hiện tượng đổ mồ hôi của bình. mấy lần trước mình mua không có bị như này, không biết có mua lầm sản phẩm giả không? cũng như không biết có bảo hành gì không.",1,1,1,1
